group_field,group,n,accuracy,avg_retrieved_tokens_est,avg_stored_items_est,baseline,elapsed_sec
capability_group,habit_boundary_false_personalization,36,0.5,329.19,1.11,zep_like_temporal_graph,2.428
capability_group,habit_direct_use,36,0.25,329.19,1.11,zep_like_temporal_graph,2.428
capability_group,memory_conflict_resolution,26,0.4231,336.73,1.12,zep_like_temporal_graph,2.428
capability_group,relevant_memory_selection,31,0.3226,305.29,1.03,zep_like_temporal_graph,2.428
habit_family,planning_defaults,201,0.3134,326.48,1.1,zep_like_temporal_graph,2.428
stress_variant,travel_variable_profile_v03,201,0.3134,326.48,1.1,zep_like_temporal_graph,2.428
overall,overall,201,0.4428,1408.2,72.24,a_mem_like_note_linking,5.743
probe_type,boundary,36,0.3611,1408.58,72.56,a_mem_like_note_linking,5.743
probe_type,conflict_current_override,26,0.3462,1412.77,71.19,a_mem_like_note_linking,5.743
probe_type,cross_habit_selection,31,0.4516,1421.42,71.68,a_mem_like_note_linking,5.743
probe_type,direct_use,36,0.6667,1407.69,72.56,a_mem_like_note_linking,5.743
probe_type,exception,36,0.1111,1407.53,72.56,a_mem_like_note_linking,5.743
probe_type,explicit_retrieval,36,0.6944,1394.31,72.56,a_mem_like_note_linking,5.743
capability_group,counterevidence_exception,36,0.1111,1407.53,72.56,a_mem_like_note_linking,5.743
capability_group,explicit_fact_preference_retrieval,36,0.6944,1394.31,72.56,a_mem_like_note_linking,5.743
capability_group,habit_boundary_false_personalization,36,0.3611,1408.58,72.56,a_mem_like_note_linking,5.743
capability_group,habit_direct_use,36,0.6667,1407.69,72.56,a_mem_like_note_linking,5.743
capability_group,memory_conflict_resolution,26,0.3462,1412.77,71.19,a_mem_like_note_linking,5.743
capability_group,relevant_memory_selection,31,0.4516,1421.42,71.68,a_mem_like_note_linking,5.743
habit_family,planning_defaults,201,0.4428,1408.2,72.24,a_mem_like_note_linking,5.743
stress_variant,travel_variable_profile_v03,201,0.4428,1408.2,72.24,a_mem_like_note_linking,5.743
overall,overall,201,0.4776,1273.24,1248.48,secom_like_segment_memory,7.934
probe_type,boundary,36,0.5278,1305.97,1255.06,secom_like_segment_memory,7.934
probe_type,conflict_current_override,26,0.4615,1213.04,1226.69,secom_like_segment_memory,7.934
probe_type,cross_habit_selection,31,0.5161,1332.61,1236.23,secom_like_segment_memory,7.934
probe_type,direct_use,36,0.5,1222.22,1255.06,secom_like_segment_memory,7.934
probe_type,exception,36,0.2222,1242.39,1255.06,secom_like_segment_memory,7.934
probe_type,explicit_retrieval,36,0.6389,1314.72,1255.06,secom_like_segment_memory,7.934
capability_group,counterevidence_exception,36,0.2222,1242.39,1255.06,secom_like_segment_memory,7.934
capability_group,explicit_fact_preference_retrieval,36,0.6389,1314.72,1255.06,secom_like_segment_memory,7.934
capability_group,habit_boundary_false_personalization,36,0.5278,1305.97,1255.06,secom_like_segment_memory,7.934
capability_group,habit_direct_use,36,0.5,1222.22,1255.06,secom_like_segment_memory,7.934
capability_group,memory_conflict_resolution,26,0.4615,1213.04,1226.69,secom_like_segment_memory,7.934
capability_group,relevant_memory_selection,31,0.5161,1332.61,1236.23,secom_like_segment_memory,7.934
habit_family,planning_defaults,201,0.4776,1273.24,1248.48,secom_like_segment_memory,7.934
stress_variant,travel_variable_profile_v03,201,0.4776,1273.24,1248.48,secom_like_segment_memory,7.934
overall,overall,201,0.2935,326.48,1.0,rmm_like_reflective_summary,2.481
probe_type,boundary,36,0.4444,329.19,1.0,rmm_like_reflective_summary,2.481
probe_type,conflict_current_override,26,0.4231,336.73,1.0,rmm_like_reflective_summary,2.481
probe_type,cross_habit_selection,31,0.2903,305.29,1.0,rmm_like_reflective_summary,2.481
probe_type,direct_use,36,0.1944,329.19,1.0,rmm_like_reflective_summary,2.481
probe_type,exception,36,0.2778,329.19,1.0,rmm_like_reflective_summary,2.481
probe_type,explicit_retrieval,36,0.1667,329.19,1.0,rmm_like_reflective_summary,2.481
capability_group,counterevidence_exception,36,0.2778,329.19,1.0,rmm_like_reflective_summary,2.481
capability_group,explicit_fact_preference_retrieval,36,0.1667,329.19,1.0,rmm_like_reflective_summary,2.481
capability_group,habit_boundary_false_personalization,36,0.4444,329.19,1.0,rmm_like_reflective_summary,2.481
capability_group,habit_direct_use,36,0.1944,329.19,1.0,rmm_like_reflective_summary,2.481
capability_group,memory_conflict_resolution,26,0.4231,336.73,1.0,rmm_like_reflective_summary,2.481
capability_group,relevant_memory_selection,31,0.2903,305.29,1.0,rmm_like_reflective_summary,2.481
habit_family,planning_defaults,201,0.2935,326.48,1.0,rmm_like_reflective_summary,2.481
stress_variant,travel_variable_profile_v03,201,0.2935,326.48,1.0,rmm_like_reflective_summary,2.481
overall,overall,201,0.2736,326.48,1.0,o_mem_like_user_profile,2.445
probe_type,boundary,36,0.2778,329.19,1.0,o_mem_like_user_profile,2.445
probe_type,conflict_current_override,26,0.3462,336.73,1.0,o_mem_like_user_profile,2.445
probe_type,cross_habit_selection,31,0.3871,305.29,1.0,o_mem_like_user_profile,2.445
probe_type,direct_use,36,0.2778,329.19,1.0,o_mem_like_user_profile,2.445
probe_type,exception,36,0.1667,329.19,1.0,o_mem_like_user_profile,2.445
probe_type,explicit_retrieval,36,0.2222,329.19,1.0,o_mem_like_user_profile,2.445
capability_group,counterevidence_exception,36,0.1667,329.19,1.0,o_mem_like_user_profile,2.445
capability_group,explicit_fact_preference_retrieval,36,0.2222,329.19,1.0,o_mem_like_user_profile,2.445
capability_group,habit_boundary_false_personalization,36,0.2778,329.19,1.0,o_mem_like_user_profile,2.445
capability_group,habit_direct_use,36,0.2778,329.19,1.0,o_mem_like_user_profile,2.445
capability_group,memory_conflict_resolution,26,0.3462,336.73,1.0,o_mem_like_user_profile,2.445
capability_group,relevant_memory_selection,31,0.3871,305.29,1.0,o_mem_like_user_profile,2.445
habit_family,planning_defaults,201,0.2736,326.48,1.0,o_mem_like_user_profile,2.445
stress_variant,travel_variable_profile_v03,201,0.2736,326.48,1.0,o_mem_like_user_profile,2.445
