decision_unit_id,user_id,domain,habit_id,decision_evidence_session_ids_json,reuse_count,probe_ids_json
mdgo_v13_du_0791f8ecc6d6f6a1,mdgo_v05_fin_user_0017,finance,finance_payment_status_latest_check,"[""mdgo_v05_fin_user_0017_s0008"", ""mdgo_v05_fin_user_0017_s0263""]",14,"[""mdgo_v11_probe_000354"", ""mdgo_v11_probe_000549"", ""mdgo_v11_probe_000770"", ""mdgo_v11_probe_000793"", ""mdgo_v11_probe_000853"", ""mdgo_v11_probe_000930"", ""mdgo_v11_probe_001253"", ""mdgo_v11_probe_001272"", ""mdgo_v11_probe_001665"", ""mdgo_v11_probe_001687"", ""mdgo_v11_probe_001766"", ""mdgo_v11_probe_001805"", ""mdgo_v11_probe_001874"", ""mdgo_v11_probe_001973""]"
mdgo_v13_du_08ff45e999aed78c,mdgo_v05_fin_user_0023,finance,finance_fee_dispute_evidence_then_case,"[""mdgo_v05_fin_user_0023_s0282"", ""mdgo_v05_fin_user_0023_s0535""]",12,"[""mdgo_v11_probe_000055"", ""mdgo_v11_probe_000091"", ""mdgo_v11_probe_000231"", ""mdgo_v11_probe_000719"", ""mdgo_v11_probe_000845"", ""mdgo_v11_probe_001076"", ""mdgo_v11_probe_001232"", ""mdgo_v11_probe_001261"", ""mdgo_v11_probe_001357"", ""mdgo_v11_probe_001577"", ""mdgo_v11_probe_001881"", ""mdgo_v11_probe_002024""]"
mdgo_v13_du_0937c4039bf83a08,mdgo_v05_fin_user_0009,finance,finance_credit_loan_cautious_no_commitment,"[""mdgo_v05_fin_user_0009_s0278"", ""mdgo_v05_fin_user_0009_s0533""]",23,"[""mdgo_v11_probe_000007"", ""mdgo_v11_probe_000058"", ""mdgo_v11_probe_000079"", ""mdgo_v11_probe_000144"", ""mdgo_v11_probe_000205"", ""mdgo_v11_probe_000250"", ""mdgo_v11_probe_000271"", ""mdgo_v11_probe_000397"", ""mdgo_v11_probe_000466"", ""mdgo_v11_probe_001015"", ""mdgo_v11_probe_001065"", ""mdgo_v11_probe_001075"", ""mdgo_v11_probe_001131"", ""mdgo_v11_probe_001193"", ""mdgo_v11_probe_001336"", ""mdgo_v11_probe_001342"", ""mdgo_v11_probe_001483"", ""mdgo_v11_probe_001585"", ""mdgo_v11_probe_001667"", ""mdgo_v11_probe_001727"", ""mdgo_v11_probe_001765"", ""mdgo_v11_probe_001792"", ""mdgo_v11_probe_001909""]"
mdgo_v13_du_09c6fefd15a4a97a,mdgo_v05_fin_user_0027,finance,finance_fee_dispute_evidence_then_case,"[""mdgo_v05_fin_user_0027_s0284"", ""mdgo_v05_fin_user_0027_s0536""]",12,"[""mdgo_v11_probe_000087"", ""mdgo_v11_probe_000196"", ""mdgo_v11_probe_000225"", ""mdgo_v11_probe_000759"", ""mdgo_v11_probe_001057"", ""mdgo_v11_probe_001100"", ""mdgo_v11_probe_001150"", ""mdgo_v11_probe_001573"", ""mdgo_v11_probe_001597"", ""mdgo_v11_probe_001617"", ""mdgo_v11_probe_001661"", ""mdgo_v11_probe_001935""]"
mdgo_v13_du_0a0dd2c1df2e4c2c,mdgo_v05_fin_user_0027,finance,finance_minimal_pii_secure_verification,"[""mdgo_v05_fin_user_0027_s0020"", ""mdgo_v05_fin_user_0027_s0269""]",7,"[""mdgo_v11_probe_000038"", ""mdgo_v11_probe_000087"", ""mdgo_v11_probe_000225"", ""mdgo_v11_probe_000235"", ""mdgo_v11_probe_001051"", ""mdgo_v11_probe_001387"", ""mdgo_v11_probe_001390""]"
mdgo_v13_du_0a3183e0be7ceba5,mdgo_v05_fin_user_0019,finance,finance_fraud_lost_card_urgent_escalation,"[""mdgo_v05_fin_user_0019_s0276"", ""mdgo_v05_fin_user_0019_s0532""]",19,"[""mdgo_v11_probe_000086"", ""mdgo_v11_probe_000269"", ""mdgo_v11_probe_000384"", ""mdgo_v11_probe_000460"", ""mdgo_v11_probe_000865"", ""mdgo_v11_probe_000896"", ""mdgo_v11_probe_000918"", ""mdgo_v11_probe_000956"", ""mdgo_v11_probe_001169"", ""mdgo_v11_probe_001266"", ""mdgo_v11_probe_001362"", ""mdgo_v11_probe_001415"", ""mdgo_v11_probe_001679"", ""mdgo_v11_probe_001775"", ""mdgo_v11_probe_001879"", ""mdgo_v11_probe_001906"", ""mdgo_v11_probe_001979"", ""mdgo_v11_probe_002026"", ""mdgo_v11_probe_002034""]"
mdgo_v13_du_0ad8b87a6f0dce82,mdgo_v05_fin_user_0020,finance,finance_confirm_card_account_changes,"[""mdgo_v05_fin_user_0020_s0032"", ""mdgo_v05_fin_user_0020_s0275""]",15,"[""mdgo_v11_probe_000072"", ""mdgo_v11_probe_000166"", ""mdgo_v11_probe_000326"", ""mdgo_v11_probe_000543"", ""mdgo_v11_probe_000558"", ""mdgo_v11_probe_001009"", ""mdgo_v11_probe_001056"", ""mdgo_v11_probe_001204"", ""mdgo_v11_probe_001384"", ""mdgo_v11_probe_001464"", ""mdgo_v11_probe_001732"", ""mdgo_v11_probe_001804"", ""mdgo_v11_probe_001911"", ""mdgo_v11_probe_001942"", ""mdgo_v11_probe_001987""]"
mdgo_v13_du_0b98b3ae1910bbbb,mdgo_v05_sof_user_0000,software,software_ticket_receipt_summary,"[""mdgo_v05_sof_user_0000_s0020"", ""mdgo_v05_sof_user_0000_s0269""]",3,"[""mdgo_v11_probe_000594"", ""mdgo_v11_probe_001234"", ""mdgo_v11_probe_001470""]"
mdgo_v13_du_0c51096a6f3067f6,mdgo_v05_sof_user_0003,software,software_backup_before_risky_change,"[""mdgo_v05_sof_user_0003_s0032"", ""mdgo_v05_sof_user_0003_s0275""]",17,"[""mdgo_v11_probe_000028"", ""mdgo_v11_probe_000084"", ""mdgo_v11_probe_000240"", ""mdgo_v11_probe_000343"", ""mdgo_v11_probe_000550"", ""mdgo_v11_probe_000552"", ""mdgo_v11_probe_000810"", ""mdgo_v11_probe_000817"", ""mdgo_v11_probe_001130"", ""mdgo_v11_probe_001333"", ""mdgo_v11_probe_001408"", ""mdgo_v11_probe_001488"", ""mdgo_v11_probe_001822"", ""mdgo_v11_probe_001832"", ""mdgo_v11_probe_001884"", ""mdgo_v11_probe_001977"", ""mdgo_v11_probe_001994""]"
mdgo_v13_du_0c9d0311152ddde4,mdgo_v05_fin_user_0008,finance,finance_fraud_lost_card_urgent_escalation,"[""mdgo_v05_fin_user_0008_s0008"", ""mdgo_v05_fin_user_0008_s0263""]",11,"[""mdgo_v11_probe_000253"", ""mdgo_v11_probe_000685"", ""mdgo_v11_probe_000706"", ""mdgo_v11_probe_000829"", ""mdgo_v11_probe_000877"", ""mdgo_v11_probe_000900"", ""mdgo_v11_probe_000911"", ""mdgo_v11_probe_001277"", ""mdgo_v11_probe_001550"", ""mdgo_v11_probe_001771"", ""mdgo_v11_probe_001898""]"
mdgo_v13_du_0cc74db267272900,mdgo_v05_fin_user_0011,finance,finance_credit_loan_cautious_no_commitment,"[""mdgo_v05_fin_user_0011_s0014"", ""mdgo_v05_fin_user_0011_s0266""]",4,"[""mdgo_v11_probe_000147"", ""mdgo_v11_probe_000201"", ""mdgo_v11_probe_000282"", ""mdgo_v11_probe_001836""]"
mdgo_v13_du_0ce03a66973bd042,mdgo_v05_sof_user_0007,software,software_docs_lookup_for_update_install,"[""mdgo_v05_sof_user_0007_s0002"", ""mdgo_v05_sof_user_0007_s0260""]",7,"[""mdgo_v11_probe_000536"", ""mdgo_v11_probe_000860"", ""mdgo_v11_probe_000864"", ""mdgo_v11_probe_001302"", ""mdgo_v11_probe_001366"", ""mdgo_v11_probe_001482"", ""mdgo_v11_probe_001920""]"
mdgo_v13_du_0d12cd4b1526d3c3,mdgo_v05_fin_user_0014,finance,finance_payment_status_latest_check,"[""mdgo_v05_fin_user_0014_s0280"", ""mdgo_v05_fin_user_0014_s0534""]",20,"[""mdgo_v11_probe_000025"", ""mdgo_v11_probe_000182"", ""mdgo_v11_probe_000199"", ""mdgo_v11_probe_000232"", ""mdgo_v11_probe_000482"", ""mdgo_v11_probe_000600"", ""mdgo_v11_probe_000669"", ""mdgo_v11_probe_000776"", ""mdgo_v11_probe_000794"", ""mdgo_v11_probe_000866"", ""mdgo_v11_probe_000870"", ""mdgo_v11_probe_000929"", ""mdgo_v11_probe_001020"", ""mdgo_v11_probe_001096"", ""mdgo_v11_probe_001292"", ""mdgo_v11_probe_001300"", ""mdgo_v11_probe_001536"", ""mdgo_v11_probe_001743"", ""mdgo_v11_probe_001757"", ""mdgo_v11_probe_001814""]"
mdgo_v13_du_0d5c0f4babc3060c,mdgo_v07_sof_user_0009,software,software_ticket_receipt_summary,"[""mdgo_v07_sof_user_0009_s0286"", ""mdgo_v07_sof_user_0009_s0537""]",14,"[""mdgo_v11_probe_000076"", ""mdgo_v11_probe_000179"", ""mdgo_v11_probe_000311"", ""mdgo_v11_probe_000484"", ""mdgo_v11_probe_000971"", ""mdgo_v11_probe_001023"", ""mdgo_v11_probe_001039"", ""mdgo_v11_probe_001121"", ""mdgo_v11_probe_001185"", ""mdgo_v11_probe_001194"", ""mdgo_v11_probe_001403"", ""mdgo_v11_probe_001899"", ""mdgo_v11_probe_001923"", ""mdgo_v11_probe_001925""]"
mdgo_v13_du_0f142d7faab7313c,mdgo_v05_fin_user_0027,finance,finance_confirm_money_movement,"[""mdgo_v05_fin_user_0027_s0014"", ""mdgo_v05_fin_user_0027_s0266""]",15,"[""mdgo_v11_probe_000235"", ""mdgo_v11_probe_000759"", ""mdgo_v11_probe_000800"", ""mdgo_v11_probe_000828"", ""mdgo_v11_probe_001051"", ""mdgo_v11_probe_001057"", ""mdgo_v11_probe_001091"", ""mdgo_v11_probe_001100"", ""mdgo_v11_probe_001196"", ""mdgo_v11_probe_001387"", ""mdgo_v11_probe_001573"", ""mdgo_v11_probe_001617"", ""mdgo_v11_probe_001661"", ""mdgo_v11_probe_001922"", ""mdgo_v11_probe_001935""]"
mdgo_v13_du_0f48254ac115a21e,mdgo_v05_fin_user_0026,finance,finance_fee_dispute_evidence_then_case,"[""mdgo_v05_fin_user_0026_s0014"", ""mdgo_v05_fin_user_0026_s0266""]",6,"[""mdgo_v11_probe_000169"", ""mdgo_v11_probe_000625"", ""mdgo_v11_probe_000660"", ""mdgo_v11_probe_000839"", ""mdgo_v11_probe_001101"", ""mdgo_v11_probe_001251""]"
mdgo_v13_du_0f566a0c387f6ec6,mdgo_v05_fin_user_0019,finance,finance_fraud_lost_card_urgent_escalation,"[""mdgo_v05_fin_user_0019_s0002"", ""mdgo_v05_fin_user_0019_s0260""]",5,"[""mdgo_v11_probe_000714"", ""mdgo_v11_probe_001191"", ""mdgo_v11_probe_001512"", ""mdgo_v11_probe_001716"", ""mdgo_v11_probe_002031""]"
mdgo_v13_du_0f7c05e68e86cc89,mdgo_v05_fin_user_0007,finance,finance_fee_dispute_evidence_then_case,"[""mdgo_v05_fin_user_0007_s0276"", ""mdgo_v05_fin_user_0007_s0532""]",17,"[""mdgo_v11_probe_000036"", ""mdgo_v11_probe_000053"", ""mdgo_v11_probe_000068"", ""mdgo_v11_probe_000077"", ""mdgo_v11_probe_000080"", ""mdgo_v11_probe_000213"", ""mdgo_v11_probe_000412"", ""mdgo_v11_probe_000586"", ""mdgo_v11_probe_000882"", ""mdgo_v11_probe_001079"", ""mdgo_v11_probe_001104"", ""mdgo_v11_probe_001454"", ""mdgo_v11_probe_001548"", ""mdgo_v11_probe_001651"", ""mdgo_v11_probe_001722"", ""mdgo_v11_probe_001984"", ""mdgo_v11_probe_001986""]"
mdgo_v13_du_11cc48faececd3f1,mdgo_v05_fin_user_0032,finance,finance_credit_loan_cautious_no_commitment,"[""mdgo_v05_fin_user_0032_s0008"", ""mdgo_v05_fin_user_0032_s0263""]",10,"[""mdgo_v11_probe_000192"", ""mdgo_v11_probe_000376"", ""mdgo_v11_probe_000476"", ""mdgo_v11_probe_001021"", ""mdgo_v11_probe_001048"", ""mdgo_v11_probe_001498"", ""mdgo_v11_probe_001628"", ""mdgo_v11_probe_001702"", ""mdgo_v11_probe_001950"", ""mdgo_v11_probe_001967""]"
mdgo_v13_du_1317de040711454a,mdgo_v05_fin_user_0017,finance,finance_minimal_pii_secure_verification,"[""mdgo_v05_fin_user_0017_s0032"", ""mdgo_v05_fin_user_0017_s0275""]",7,"[""mdgo_v11_probe_000395"", ""mdgo_v11_probe_000969"", ""mdgo_v11_probe_001083"", ""mdgo_v11_probe_001215"", ""mdgo_v11_probe_001227"", ""mdgo_v11_probe_001471"", ""mdgo_v11_probe_001805""]"
mdgo_v13_du_13a941f3d78831b6,mdgo_v05_fin_user_0002,finance,finance_confirm_money_movement,"[""mdgo_v05_fin_user_0002_s0278"", ""mdgo_v05_fin_user_0002_s0533""]",25,"[""mdgo_v11_probe_000018"", ""mdgo_v11_probe_000026"", ""mdgo_v11_probe_000078"", ""mdgo_v11_probe_000112"", ""mdgo_v11_probe_000118"", ""mdgo_v11_probe_000483"", ""mdgo_v11_probe_000506"", ""mdgo_v11_probe_000589"", ""mdgo_v11_probe_000683"", ""mdgo_v11_probe_000715"", ""mdgo_v11_probe_000781"", ""mdgo_v11_probe_001148"", ""mdgo_v11_probe_001229"", ""mdgo_v11_probe_001268"", ""mdgo_v11_probe_001298"", ""mdgo_v11_probe_001318"", ""mdgo_v11_probe_001351"", ""mdgo_v11_probe_001517"", ""mdgo_v11_probe_001553"", ""mdgo_v11_probe_001635"", ""mdgo_v11_probe_001670"", ""mdgo_v11_probe_001741"", ""mdgo_v11_probe_001786"", ""mdgo_v11_probe_001802"", ""mdgo_v11_probe_001944""]"
mdgo_v13_du_143752629bf12ffc,mdgo_v07_sof_user_0013,software,software_ticket_receipt_summary,"[""mdgo_v07_sof_user_0013_s0286"", ""mdgo_v07_sof_user_0013_s0537""]",6,"[""mdgo_v11_probe_000687"", ""mdgo_v11_probe_001115"", ""mdgo_v11_probe_001395"", ""mdgo_v11_probe_001457"", ""mdgo_v11_probe_001955"", ""mdgo_v11_probe_002003""]"
mdgo_v13_du_14dd5cace6a69785,mdgo_v07_sof_user_0012,software,software_one_try_then_escalate,"[""mdgo_v07_sof_user_0012_s0014"", ""mdgo_v07_sof_user_0012_s0266""]",3,"[""mdgo_v11_probe_000537"", ""mdgo_v11_probe_001444"", ""mdgo_v11_probe_002001""]"
mdgo_v13_du_154429abde1fa5a6,mdgo_v07_sof_user_0016,software,software_platform_specific_steps,"[""mdgo_v07_sof_user_0016_s0282"", ""mdgo_v07_sof_user_0016_s0535""]",17,"[""mdgo_v11_probe_000254"", ""mdgo_v11_probe_000579"", ""mdgo_v11_probe_000583"", ""mdgo_v11_probe_000673"", ""mdgo_v11_probe_000798"", ""mdgo_v11_probe_000801"", ""mdgo_v11_probe_000891"", ""mdgo_v11_probe_000938"", ""mdgo_v11_probe_001166"", ""mdgo_v11_probe_001273"", ""mdgo_v11_probe_001294"", ""mdgo_v11_probe_001381"", ""mdgo_v11_probe_001627"", ""mdgo_v11_probe_001671"", ""mdgo_v11_probe_001789"", ""mdgo_v11_probe_001867"", ""mdgo_v11_probe_001936""]"
mdgo_v13_du_1556be96723b2671,mdgo_v05_sof_user_0005,software,software_backup_before_risky_change,"[""mdgo_v05_sof_user_0005_s0280"", ""mdgo_v05_sof_user_0005_s0534""]",15,"[""mdgo_v11_probe_000035"", ""mdgo_v11_probe_000181"", ""mdgo_v11_probe_000400"", ""mdgo_v11_probe_000404"", ""mdgo_v11_probe_000690"", ""mdgo_v11_probe_000721"", ""mdgo_v11_probe_000742"", ""mdgo_v11_probe_000868"", ""mdgo_v11_probe_000968"", ""mdgo_v11_probe_001081"", ""mdgo_v11_probe_001353"", ""mdgo_v11_probe_001397"", ""mdgo_v11_probe_001502"", ""mdgo_v11_probe_001778"", ""mdgo_v11_probe_001916""]"
mdgo_v13_du_15b9327c80680bca,mdgo_v05_fin_user_0032,finance,finance_balance_statement_summary_first,"[""mdgo_v05_fin_user_0032_s0002"", ""mdgo_v05_fin_user_0032_s0260""]",3,"[""mdgo_v11_probe_000162"", ""mdgo_v11_probe_000522"", ""mdgo_v11_probe_001752""]"
mdgo_v13_du_15d8ccbc0b393959,mdgo_v05_fin_user_0022,finance,finance_credit_loan_cautious_no_commitment,"[""mdgo_v05_fin_user_0022_s0008"", ""mdgo_v05_fin_user_0022_s0263""]",6,"[""mdgo_v11_probe_000255"", ""mdgo_v11_probe_000318"", ""mdgo_v11_probe_000436"", ""mdgo_v11_probe_000510"", ""mdgo_v11_probe_000950"", ""mdgo_v11_probe_001394""]"
mdgo_v13_du_15f912f51fb0fce1,mdgo_v05_fin_user_0034,finance,finance_balance_statement_summary_first,"[""mdgo_v05_fin_user_0034_s0008"", ""mdgo_v05_fin_user_0034_s0263""]",10,"[""mdgo_v11_probe_000090"", ""mdgo_v11_probe_000943"", ""mdgo_v11_probe_001008"", ""mdgo_v11_probe_001280"", ""mdgo_v11_probe_001324"", ""mdgo_v11_probe_001441"", ""mdgo_v11_probe_001601"", ""mdgo_v11_probe_001777"", ""mdgo_v11_probe_002010"", ""mdgo_v11_probe_002044""]"
mdgo_v13_du_16df76d67f63edcc,mdgo_v05_fin_user_0026,finance,finance_balance_statement_summary_first,"[""mdgo_v05_fin_user_0026_s0286"", ""mdgo_v05_fin_user_0026_s0537""]",12,"[""mdgo_v11_probe_000239"", ""mdgo_v11_probe_000243"", ""mdgo_v11_probe_000409"", ""mdgo_v11_probe_000614"", ""mdgo_v11_probe_000649"", ""mdgo_v11_probe_000723"", ""mdgo_v11_probe_000757"", ""mdgo_v11_probe_001095"", ""mdgo_v11_probe_001341"", ""mdgo_v11_probe_001737"", ""mdgo_v11_probe_001795"", ""mdgo_v11_probe_001871""]"
mdgo_v13_du_17da793e873bffe0,mdgo_v05_fin_user_0001,finance,finance_payment_status_latest_check,"[""mdgo_v05_fin_user_0001_s0280"", ""mdgo_v05_fin_user_0001_s0534""]",19,"[""mdgo_v11_probe_000198"", ""mdgo_v11_probe_000492"", ""mdgo_v11_probe_000572"", ""mdgo_v11_probe_000874"", ""mdgo_v11_probe_000922"", ""mdgo_v11_probe_001034"", ""mdgo_v11_probe_001040"", ""mdgo_v11_probe_001042"", ""mdgo_v11_probe_001128"", ""mdgo_v11_probe_001198"", ""mdgo_v11_probe_001332"", ""mdgo_v11_probe_001373"", ""mdgo_v11_probe_001608"", ""mdgo_v11_probe_001622"", ""mdgo_v11_probe_001711"", ""mdgo_v11_probe_001825"", ""mdgo_v11_probe_001985"", ""mdgo_v11_probe_002041"", ""mdgo_v11_probe_002046""]"
mdgo_v13_du_181e8dbd868c0fe6,mdgo_v05_fin_user_0030,finance,finance_confirm_card_account_changes,"[""mdgo_v05_fin_user_0030_s0014"", ""mdgo_v05_fin_user_0030_s0266""]",4,"[""mdgo_v11_probe_000738"", ""mdgo_v11_probe_000739"", ""mdgo_v11_probe_002013"", ""mdgo_v11_probe_002032""]"
mdgo_v13_du_186be8cefa3c19c8,mdgo_v05_fin_user_0005,finance,finance_fee_dispute_evidence_then_case,"[""mdgo_v05_fin_user_0005_s0020"", ""mdgo_v05_fin_user_0005_s0269""]",5,"[""mdgo_v11_probe_000296"", ""mdgo_v11_probe_000507"", ""mdgo_v11_probe_000890"", ""mdgo_v11_probe_001136"", ""mdgo_v11_probe_001693""]"
mdgo_v13_du_198e77813ef2c9c3,mdgo_v05_fin_user_0023,finance,finance_minimal_pii_secure_verification,"[""mdgo_v05_fin_user_0023_s0032"", ""mdgo_v05_fin_user_0023_s0275""]",5,"[""mdgo_v11_probe_000221"", ""mdgo_v11_probe_000231"", ""mdgo_v11_probe_000599"", ""mdgo_v11_probe_000719"", ""mdgo_v11_probe_001648""]"
mdgo_v13_du_1aaa7d8ad0fa9433,mdgo_v05_fin_user_0016,finance,finance_minimal_pii_secure_verification,"[""mdgo_v05_fin_user_0016_s0002"", ""mdgo_v05_fin_user_0016_s0260""]",6,"[""mdgo_v11_probe_000160"", ""mdgo_v11_probe_000224"", ""mdgo_v11_probe_000252"", ""mdgo_v11_probe_000630"", ""mdgo_v11_probe_001140"", ""mdgo_v11_probe_001542""]"
mdgo_v13_du_1b09ea643a8dc962,mdgo_v07_sof_user_0014,software,software_collect_diagnostics_before_fix,"[""mdgo_v07_sof_user_0014_s0278"", ""mdgo_v07_sof_user_0014_s0533""]",16,"[""mdgo_v11_probe_000047"", ""mdgo_v11_probe_000287"", ""mdgo_v11_probe_000372"", ""mdgo_v11_probe_000385"", ""mdgo_v11_probe_000403"", ""mdgo_v11_probe_000511"", ""mdgo_v11_probe_000961"", ""mdgo_v11_probe_001126"", ""mdgo_v11_probe_001337"", ""mdgo_v11_probe_001338"", ""mdgo_v11_probe_001358"", ""mdgo_v11_probe_001466"", ""mdgo_v11_probe_001492"", ""mdgo_v11_probe_001689"", ""mdgo_v11_probe_001753"", ""mdgo_v11_probe_002027""]"
mdgo_v13_du_1b71aa973533fcb3,mdgo_v05_fin_user_0000,finance,finance_confirm_money_movement,"[""mdgo_v05_fin_user_0000_s0002"", ""mdgo_v05_fin_user_0000_s0260""]",8,"[""mdgo_v11_probe_000060"", ""mdgo_v11_probe_000408"", ""mdgo_v11_probe_000803"", ""mdgo_v11_probe_000824"", ""mdgo_v11_probe_000984"", ""mdgo_v11_probe_001208"", ""mdgo_v11_probe_001487"", ""mdgo_v11_probe_001860""]"
