group_field,group,n,accuracy,avg_retrieved_tokens_est,avg_stored_items_est,baseline,elapsed_sec
stress_variant,taskmaster_seeded_explicit,30,0.0,208.27,80.0,secom_like_segment_memory,0.212
overall,overall,120,0.55,203.13,1.0,rmm_like_reflective_summary,0.1
probe_type,boundary,30,0.0,203.13,1.0,rmm_like_reflective_summary,0.1
probe_type,direct_use,30,1.0,203.13,1.0,rmm_like_reflective_summary,0.1
probe_type,exception,30,0.2,203.13,1.0,rmm_like_reflective_summary,0.1
probe_type,explicit_retrieval,30,1.0,203.13,1.0,rmm_like_reflective_summary,0.1
capability_group,counterevidence_exception,30,0.2,203.13,1.0,rmm_like_reflective_summary,0.1
capability_group,explicit_fact_preference_retrieval,30,1.0,203.13,1.0,rmm_like_reflective_summary,0.1
capability_group,habit_boundary_false_personalization,30,0.0,203.13,1.0,rmm_like_reflective_summary,0.1
capability_group,habit_direct_use,30,1.0,203.13,1.0,rmm_like_reflective_summary,0.1
habit_family,planning_defaults,120,0.55,203.13,1.0,rmm_like_reflective_summary,0.1
stress_variant,taskmaster_seeded_boundary,30,0.0,203.13,1.0,rmm_like_reflective_summary,0.1
stress_variant,taskmaster_seeded_direct,30,1.0,203.13,1.0,rmm_like_reflective_summary,0.1
stress_variant,taskmaster_seeded_exception,30,0.2,203.13,1.0,rmm_like_reflective_summary,0.1
stress_variant,taskmaster_seeded_explicit,30,1.0,203.13,1.0,rmm_like_reflective_summary,0.1
overall,overall,120,0.55,203.13,1.0,o_mem_like_user_profile,0.099
probe_type,boundary,30,0.0,203.13,1.0,o_mem_like_user_profile,0.099
probe_type,direct_use,30,1.0,203.13,1.0,o_mem_like_user_profile,0.099
probe_type,exception,30,0.2,203.13,1.0,o_mem_like_user_profile,0.099
probe_type,explicit_retrieval,30,1.0,203.13,1.0,o_mem_like_user_profile,0.099
capability_group,counterevidence_exception,30,0.2,203.13,1.0,o_mem_like_user_profile,0.099
capability_group,explicit_fact_preference_retrieval,30,1.0,203.13,1.0,o_mem_like_user_profile,0.099
capability_group,habit_boundary_false_personalization,30,0.0,203.13,1.0,o_mem_like_user_profile,0.099
capability_group,habit_direct_use,30,1.0,203.13,1.0,o_mem_like_user_profile,0.099
habit_family,planning_defaults,120,0.55,203.13,1.0,o_mem_like_user_profile,0.099
stress_variant,taskmaster_seeded_boundary,30,0.0,203.13,1.0,o_mem_like_user_profile,0.099
stress_variant,taskmaster_seeded_direct,30,1.0,203.13,1.0,o_mem_like_user_profile,0.099
stress_variant,taskmaster_seeded_exception,30,0.2,203.13,1.0,o_mem_like_user_profile,0.099
stress_variant,taskmaster_seeded_explicit,30,1.0,203.13,1.0,o_mem_like_user_profile,0.099
