probe_id,user_id,probe_type,target_habit_count,evidence_count,max_evidence_distance,median_evidence_distance,query_token_estimate
mdgo_v05_probe_000022,mdgo_v05_fin_user_0001,exception_nested,1,1,121,121,388
mdgo_v05_probe_000023,mdgo_v05_fin_user_0001,exception_plus_active,2,6,295,137.5,617
mdgo_v05_probe_000024,mdgo_v05_fin_user_0001,composition_pair,2,4,211,158.5,597
mdgo_v05_probe_000025,mdgo_v05_fin_user_0001,composition_pair_2,2,7,112,71,538
mdgo_v05_probe_000026,mdgo_v05_fin_user_0001,composition_triple,3,13,296,85,713
mdgo_v05_probe_000027,mdgo_v05_fin_user_0001,priority_pair,2,9,295,96,573
mdgo_v05_probe_000028,mdgo_v05_fin_user_0001,priority_triple,3,13,295,84,765
mdgo_v05_probe_000029,mdgo_v05_fin_user_0001,drift_recent_override,1,4,112,65.5,446
mdgo_v05_probe_000030,mdgo_v05_fin_user_0001,drift_composition,2,8,296,131.0,586
mdgo_v05_probe_000031,mdgo_v05_fin_user_0001,drift_exception,1,5,112,48,399
mdgo_v05_probe_000032,mdgo_v05_fin_user_0001,false_personalization,1,0,,,439
mdgo_v05_probe_000033,mdgo_v05_fin_user_0001,insufficient_evidence,1,1,269,269,440
mdgo_v05_probe_000034,mdgo_v05_fin_user_0001,temporal_scope,2,10,296,155.5,637
mdgo_v05_probe_000035,mdgo_v05_fin_user_0001,explicit_retrieval,2,5,295,155,559
mdgo_v05_probe_000036,mdgo_v05_fin_user_0002,long_gap_direct,1,0,,,424
mdgo_v05_probe_000037,mdgo_v05_fin_user_0002,implicit_direct,1,4,107,60.5,412
mdgo_v05_probe_000038,mdgo_v05_fin_user_0002,boundary_near_miss,1,1,194,194,388
mdgo_v05_probe_000039,mdgo_v05_fin_user_0002,boundary_plus_active,2,6,293,173.5,563
mdgo_v05_probe_000040,mdgo_v05_fin_user_0002,exception_nested,1,0,,,394
mdgo_v05_probe_000041,mdgo_v05_fin_user_0002,exception_plus_active,2,11,296,85,639
mdgo_v05_probe_000042,mdgo_v05_fin_user_0002,composition_pair,2,9,293,141,644
mdgo_v05_probe_000043,mdgo_v05_fin_user_0002,composition_pair_2,2,13,293,110,653
mdgo_v05_probe_000044,mdgo_v05_fin_user_0002,composition_triple,3,15,296,153,745
mdgo_v05_probe_000045,mdgo_v05_fin_user_0002,priority_pair,2,13,296,85,601
mdgo_v05_probe_000046,mdgo_v05_fin_user_0002,priority_triple,3,17,296,81,805
mdgo_v05_probe_000047,mdgo_v05_fin_user_0002,drift_recent_override,1,4,107,60.5,394
mdgo_v05_probe_000048,mdgo_v05_fin_user_0002,drift_composition,2,12,296,97.5,595
mdgo_v05_probe_000049,mdgo_v05_fin_user_0002,drift_exception,1,5,107,43,419
mdgo_v05_probe_000050,mdgo_v05_fin_user_0002,false_personalization,1,0,,,435
mdgo_v05_probe_000051,mdgo_v05_fin_user_0002,insufficient_evidence,1,1,265,265,480
mdgo_v05_probe_000052,mdgo_v05_fin_user_0002,temporal_scope,2,5,296,156,616
mdgo_v05_probe_000053,mdgo_v05_fin_user_0002,explicit_retrieval,2,4,110,63.5,639
mdgo_v05_probe_000054,mdgo_v05_fin_user_0003,long_gap_direct,1,4,110,63.5,396
mdgo_v05_probe_000055,mdgo_v05_fin_user_0003,implicit_direct,1,5,295,155,449
mdgo_v05_probe_000056,mdgo_v05_fin_user_0003,boundary_near_miss,1,1,196,196,437
mdgo_v05_probe_000057,mdgo_v05_fin_user_0003,boundary_plus_active,2,8,295,174.5,613
mdgo_v05_probe_000058,mdgo_v05_fin_user_0003,exception_nested,1,0,,,426
mdgo_v05_probe_000059,mdgo_v05_fin_user_0003,exception_plus_active,2,7,297,122,597
mdgo_v05_probe_000060,mdgo_v05_fin_user_0003,composition_pair,2,10,295,148.0,636
mdgo_v05_probe_000061,mdgo_v05_fin_user_0003,composition_pair_2,2,13,295,154,571
mdgo_v05_probe_000062,mdgo_v05_fin_user_0003,composition_triple,3,16,295,82.5,787
mdgo_v05_probe_000063,mdgo_v05_fin_user_0003,priority_pair,2,10,134,69.5,639
mdgo_v05_probe_000064,mdgo_v05_fin_user_0003,priority_triple,3,17,297,96,808
mdgo_v05_probe_000065,mdgo_v05_fin_user_0003,drift_recent_override,1,3,112,48,384
mdgo_v05_probe_000066,mdgo_v05_fin_user_0003,drift_composition,2,13,294,83,593
mdgo_v05_probe_000067,mdgo_v05_fin_user_0003,drift_exception,1,4,112,40.0,393
mdgo_v05_probe_000068,mdgo_v05_fin_user_0003,false_personalization,1,0,,,440
mdgo_v05_probe_000069,mdgo_v05_fin_user_0003,insufficient_evidence,1,1,264,264,446
mdgo_v05_probe_000070,mdgo_v05_fin_user_0003,temporal_scope,2,10,295,154.5,653
mdgo_v05_probe_000071,mdgo_v05_fin_user_0003,explicit_retrieval,2,6,294,118.5,646
mdgo_v05_probe_000072,mdgo_v05_fin_user_0004,long_gap_direct,1,0,,,385
mdgo_v05_probe_000073,mdgo_v05_fin_user_0004,implicit_direct,1,5,297,157,439
mdgo_v05_probe_000074,mdgo_v05_fin_user_0004,boundary_near_miss,1,1,191,191,485
mdgo_v05_probe_000075,mdgo_v05_fin_user_0004,boundary_plus_active,2,5,192,80,568
mdgo_v05_probe_000076,mdgo_v05_fin_user_0004,exception_nested,1,1,29,29,434
mdgo_v05_probe_000077,mdgo_v05_fin_user_0004,exception_plus_active,2,10,109,44.5,604
mdgo_v05_probe_000078,mdgo_v05_fin_user_0004,composition_pair,2,8,211,93.0,587
mdgo_v05_probe_000079,mdgo_v05_fin_user_0004,composition_pair_2,2,8,292,146.5,653
mdgo_v05_probe_000080,mdgo_v05_fin_user_0004,composition_triple,3,15,292,106,765
mdgo_v05_probe_000081,mdgo_v05_fin_user_0004,priority_pair,2,8,134,68.5,626
mdgo_v05_probe_000082,mdgo_v05_fin_user_0004,priority_triple,3,8,134,68.5,801
mdgo_v05_probe_000083,mdgo_v05_fin_user_0004,drift_recent_override,1,4,108,61.5,438
mdgo_v05_probe_000084,mdgo_v05_fin_user_0004,drift_composition,2,13,297,86,559
mdgo_v05_probe_000085,mdgo_v05_fin_user_0004,drift_exception,1,5,108,44,398
mdgo_v05_probe_000086,mdgo_v05_fin_user_0004,false_personalization,1,0,,,437
mdgo_v05_probe_000087,mdgo_v05_fin_user_0004,insufficient_evidence,1,1,266,266,462
mdgo_v05_probe_000088,mdgo_v05_fin_user_0004,temporal_scope,2,9,297,86,572
mdgo_v05_probe_000089,mdgo_v05_fin_user_0004,explicit_retrieval,2,4,108,61.5,651
mdgo_v05_probe_000090,mdgo_v05_fin_user_0005,long_gap_direct,1,4,110,63.5,389
mdgo_v05_probe_000091,mdgo_v05_fin_user_0005,implicit_direct,1,5,297,157,427
mdgo_v05_probe_000092,mdgo_v05_fin_user_0005,boundary_near_miss,1,1,193,193,402
mdgo_v05_probe_000093,mdgo_v05_fin_user_0005,boundary_plus_active,2,11,297,108,625
mdgo_v05_probe_000094,mdgo_v05_fin_user_0005,exception_nested,1,1,116,116,401
mdgo_v05_probe_000095,mdgo_v05_fin_user_0005,exception_plus_active,2,11,291,80,590
mdgo_v05_probe_000096,mdgo_v05_fin_user_0005,composition_pair,2,12,297,97.0,597
mdgo_v05_probe_000097,mdgo_v05_fin_user_0005,composition_pair_2,2,13,297,86,590
mdgo_v05_probe_000098,mdgo_v05_fin_user_0005,composition_triple,3,12,211,75.0,763
mdgo_v05_probe_000099,mdgo_v05_fin_user_0005,priority_pair,2,9,291,96,652
mdgo_v05_probe_000100,mdgo_v05_fin_user_0005,priority_triple,3,14,297,115.0,852
mdgo_v05_probe_000101,mdgo_v05_fin_user_0005,drift_recent_override,1,4,110,63.5,395
mdgo_v05_probe_000102,mdgo_v05_fin_user_0005,drift_composition,2,12,211,75.0,593
mdgo_v05_probe_000103,mdgo_v05_fin_user_0005,drift_exception,1,5,110,46,371
mdgo_v05_probe_000104,mdgo_v05_fin_user_0005,false_personalization,1,0,,,424
mdgo_v05_probe_000105,mdgo_v05_fin_user_0005,insufficient_evidence,1,1,271,271,489
mdgo_v05_probe_000106,mdgo_v05_fin_user_0005,temporal_scope,2,9,297,86,600
mdgo_v05_probe_000107,mdgo_v05_fin_user_0005,explicit_retrieval,2,4,110,63.5,653
mdgo_v05_probe_000108,mdgo_v05_fin_user_0006,long_gap_direct,1,5,294,154,417
mdgo_v05_probe_000109,mdgo_v05_fin_user_0006,implicit_direct,1,4,293,191.0,441
mdgo_v05_probe_000110,mdgo_v05_fin_user_0006,boundary_near_miss,1,0,,,456
mdgo_v05_probe_000111,mdgo_v05_fin_user_0006,boundary_plus_active,2,9,293,107,648
mdgo_v05_probe_000112,mdgo_v05_fin_user_0006,exception_nested,1,0,,,402
mdgo_v05_probe_000113,mdgo_v05_fin_user_0006,exception_plus_active,2,11,296,85,581
mdgo_v05_probe_000114,mdgo_v05_fin_user_0006,composition_pair,2,9,293,107,622
mdgo_v05_probe_000115,mdgo_v05_fin_user_0006,composition_pair_2,2,6,211,92.5,651
mdgo_v05_probe_000116,mdgo_v05_fin_user_0006,composition_triple,3,10,293,96.5,756
mdgo_v05_probe_000117,mdgo_v05_fin_user_0006,priority_pair,2,9,294,96,661
mdgo_v05_probe_000118,mdgo_v05_fin_user_0006,priority_triple,3,13,294,134,829
mdgo_v05_probe_000119,mdgo_v05_fin_user_0006,drift_recent_override,1,4,107,60.5,438
mdgo_v05_probe_000120,mdgo_v05_fin_user_0006,drift_composition,2,13,296,111,628
mdgo_v05_probe_000121,mdgo_v05_fin_user_0006,drift_exception,1,5,107,43,400
mdgo_v05_probe_000122,mdgo_v05_fin_user_0006,false_personalization,1,0,,,448
mdgo_v05_probe_000123,mdgo_v05_fin_user_0006,insufficient_evidence,1,1,267,267,479
mdgo_v05_probe_000124,mdgo_v05_fin_user_0006,temporal_scope,2,9,296,85,683
mdgo_v05_probe_000125,mdgo_v05_fin_user_0006,explicit_retrieval,2,4,293,191.0,637
mdgo_v05_probe_000126,mdgo_v05_fin_user_0007,long_gap_direct,1,5,292,152,475
mdgo_v05_probe_000127,mdgo_v05_fin_user_0007,implicit_direct,1,4,107,60.5,446
mdgo_v05_probe_000128,mdgo_v05_fin_user_0007,boundary_near_miss,1,1,194,194,414
mdgo_v05_probe_000129,mdgo_v05_fin_user_0007,boundary_plus_active,2,11,296,107,618
mdgo_v05_probe_000130,mdgo_v05_fin_user_0007,exception_nested,1,1,29,29,393
mdgo_v05_probe_000131,mdgo_v05_fin_user_0007,exception_plus_active,2,11,292,151,633
mdgo_v05_probe_000132,mdgo_v05_fin_user_0007,composition_pair,2,12,296,81.5,637
mdgo_v05_probe_000133,mdgo_v05_fin_user_0007,composition_pair_2,2,14,292,106.5,606
mdgo_v05_probe_000134,mdgo_v05_fin_user_0007,composition_triple,3,17,291,80,788
mdgo_v05_probe_000135,mdgo_v05_fin_user_0007,priority_pair,2,12,291,87.0,633
mdgo_v05_probe_000136,mdgo_v05_fin_user_0007,priority_triple,3,16,291,79.0,848
mdgo_v05_probe_000137,mdgo_v05_fin_user_0007,drift_recent_override,1,4,109,62.5,416
mdgo_v05_probe_000138,mdgo_v05_fin_user_0007,drift_composition,2,12,176,74.5,614
mdgo_v05_probe_000139,mdgo_v05_fin_user_0007,drift_exception,1,5,109,45,413
mdgo_v05_probe_000140,mdgo_v05_fin_user_0007,false_personalization,1,0,,,476
mdgo_v05_probe_000141,mdgo_v05_fin_user_0007,insufficient_evidence,1,1,268,268,469
mdgo_v05_probe_000142,mdgo_v05_fin_user_0007,temporal_scope,2,9,296,85,595
mdgo_v05_probe_000143,mdgo_v05_fin_user_0007,explicit_retrieval,2,8,291,94.5,606
mdgo_v05_probe_000144,mdgo_v05_fin_user_0008,long_gap_direct,1,4,107,60.5,455
mdgo_v05_probe_000145,mdgo_v05_fin_user_0008,implicit_direct,1,4,108,61.5,448
mdgo_v05_probe_000146,mdgo_v05_fin_user_0008,boundary_near_miss,1,0,,,440
mdgo_v05_probe_000147,mdgo_v05_fin_user_0008,boundary_plus_active,2,9,290,107,625
mdgo_v05_probe_000148,mdgo_v05_fin_user_0008,exception_nested,1,1,28,28,448
mdgo_v05_probe_000149,mdgo_v05_fin_user_0008,exception_plus_active,2,11,291,80,583
mdgo_v05_probe_000150,mdgo_v05_fin_user_0008,composition_pair,2,10,290,92.0,619
mdgo_v05_probe_000151,mdgo_v05_fin_user_0008,composition_pair_2,2,14,292,146.0,578
mdgo_v05_probe_000152,mdgo_v05_fin_user_0008,composition_triple,3,17,292,106,802
mdgo_v05_probe_000153,mdgo_v05_fin_user_0008,priority_pair,2,13,291,80,619
mdgo_v05_probe_000154,mdgo_v05_fin_user_0008,priority_triple,3,16,290,78.5,815
mdgo_v05_probe_000155,mdgo_v05_fin_user_0008,drift_recent_override,1,4,107,60.5,441
mdgo_v05_probe_000156,mdgo_v05_fin_user_0008,drift_composition,2,12,292,94.5,598
mdgo_v05_probe_000157,mdgo_v05_fin_user_0008,drift_exception,1,5,107,43,435
mdgo_v05_probe_000158,mdgo_v05_fin_user_0008,false_personalization,1,0,,,451
mdgo_v05_probe_000159,mdgo_v05_fin_user_0008,insufficient_evidence,1,1,272,272,461
mdgo_v05_probe_000160,mdgo_v05_fin_user_0008,temporal_scope,2,8,290,93.5,669
mdgo_v05_probe_000161,mdgo_v05_fin_user_0008,explicit_retrieval,2,5,291,151,685
mdgo_v05_probe_000162,mdgo_v05_fin_user_0009,long_gap_direct,1,5,295,155,424
mdgo_v05_probe_000163,mdgo_v05_fin_user_0009,implicit_direct,1,5,297,157,434
mdgo_v05_probe_000164,mdgo_v05_fin_user_0009,boundary_near_miss,1,1,193,193,430
mdgo_v05_probe_000165,mdgo_v05_fin_user_0009,boundary_plus_active,2,10,297,131.5,655
mdgo_v05_probe_000166,mdgo_v05_fin_user_0009,exception_nested,1,0,,,473
mdgo_v05_probe_000167,mdgo_v05_fin_user_0009,exception_plus_active,2,10,292,93.5,595
mdgo_v05_probe_000168,mdgo_v05_fin_user_0009,composition_pair,2,10,297,96.0,609
mdgo_v05_probe_000169,mdgo_v05_fin_user_0009,composition_pair_2,2,6,176,91.5,725
mdgo_v05_probe_000170,mdgo_v05_fin_user_0009,composition_triple,3,12,211,78.0,827
mdgo_v05_probe_000171,mdgo_v05_fin_user_0009,priority_pair,2,12,295,90.0,679
mdgo_v05_probe_000172,mdgo_v05_fin_user_0009,priority_triple,3,17,295,96,821
mdgo_v05_probe_000173,mdgo_v05_fin_user_0009,drift_recent_override,1,4,108,61.5,435
mdgo_v05_probe_000174,mdgo_v05_fin_user_0009,drift_composition,2,10,297,96.0,581
mdgo_v05_probe_000175,mdgo_v05_fin_user_0009,drift_exception,1,5,108,44,454
mdgo_v05_probe_000176,mdgo_v05_fin_user_0009,false_personalization,1,0,,,431
mdgo_v05_probe_000177,mdgo_v05_fin_user_0009,insufficient_evidence,1,1,272,272,460
mdgo_v05_probe_000178,mdgo_v05_fin_user_0009,temporal_scope,2,8,297,96.0,655
mdgo_v05_probe_000179,mdgo_v05_fin_user_0009,explicit_retrieval,2,4,108,61.5,655
mdgo_v05_probe_000180,mdgo_v05_fin_user_0010,long_gap_direct,1,5,291,151,422
mdgo_v05_probe_000181,mdgo_v05_fin_user_0010,implicit_direct,1,4,108,61.5,424
mdgo_v05_probe_000182,mdgo_v05_fin_user_0010,boundary_near_miss,1,0,,,494
mdgo_v05_probe_000183,mdgo_v05_fin_user_0010,boundary_plus_active,2,11,291,112,592
mdgo_v05_probe_000184,mdgo_v05_fin_user_0010,exception_nested,1,1,119,119,429
mdgo_v05_probe_000185,mdgo_v05_fin_user_0010,exception_plus_active,2,11,295,84,595
mdgo_v05_probe_000186,mdgo_v05_fin_user_0010,composition_pair,2,13,291,83,629
mdgo_v05_probe_000187,mdgo_v05_fin_user_0010,composition_pair_2,2,12,297,99.0,662
mdgo_v05_probe_000188,mdgo_v05_fin_user_0010,composition_triple,3,16,294,81.0,851
mdgo_v05_probe_000189,mdgo_v05_fin_user_0010,priority_pair,2,11,134,79,614
mdgo_v05_probe_000190,mdgo_v05_fin_user_0010,priority_triple,3,14,297,155.5,806
mdgo_v05_probe_000191,mdgo_v05_fin_user_0010,drift_recent_override,1,4,108,61.5,415
mdgo_v05_probe_000192,mdgo_v05_fin_user_0010,drift_composition,2,12,211,75.0,600
mdgo_v05_probe_000193,mdgo_v05_fin_user_0010,drift_exception,1,5,108,44,402
mdgo_v05_probe_000194,mdgo_v05_fin_user_0010,false_personalization,1,0,,,446
mdgo_v05_probe_000195,mdgo_v05_fin_user_0010,insufficient_evidence,1,1,268,268,488
mdgo_v05_probe_000196,mdgo_v05_fin_user_0010,temporal_scope,2,9,297,86,605
mdgo_v05_probe_000197,mdgo_v05_fin_user_0010,explicit_retrieval,2,8,294,97.5,636
mdgo_v05_probe_000198,mdgo_v05_fin_user_0011,long_gap_direct,1,3,112,48,438
mdgo_v05_probe_000199,mdgo_v05_fin_user_0011,implicit_direct,1,5,293,153,438
mdgo_v05_probe_000200,mdgo_v05_fin_user_0011,boundary_near_miss,1,1,197,197,420
mdgo_v05_probe_000201,mdgo_v05_fin_user_0011,boundary_plus_active,2,12,296,175.5,668
mdgo_v05_probe_000202,mdgo_v05_fin_user_0011,exception_nested,1,1,118,118,380
mdgo_v05_probe_000203,mdgo_v05_fin_user_0011,exception_plus_active,2,12,296,136.5,666
mdgo_v05_probe_000204,mdgo_v05_fin_user_0011,composition_pair,2,14,296,155.0,684
mdgo_v05_probe_000205,mdgo_v05_fin_user_0011,composition_pair_2,2,10,293,97.0,597
mdgo_v05_probe_000206,mdgo_v05_fin_user_0011,composition_triple,3,16,293,94.0,756
mdgo_v05_probe_000207,mdgo_v05_fin_user_0011,priority_pair,2,11,292,96,616
mdgo_v05_probe_000208,mdgo_v05_fin_user_0011,priority_triple,3,15,292,81,823
mdgo_v05_probe_000209,mdgo_v05_fin_user_0011,drift_recent_override,1,4,106,59.5,441
mdgo_v05_probe_000210,mdgo_v05_fin_user_0011,drift_composition,2,12,294,126.5,651
mdgo_v05_probe_000211,mdgo_v05_fin_user_0011,drift_exception,1,5,106,42,387
mdgo_v05_probe_000212,mdgo_v05_fin_user_0011,false_personalization,1,0,,,431
mdgo_v05_probe_000213,mdgo_v05_fin_user_0011,insufficient_evidence,1,1,266,266,474
mdgo_v05_probe_000214,mdgo_v05_fin_user_0011,temporal_scope,2,10,296,155.0,681
mdgo_v05_probe_000215,mdgo_v05_fin_user_0011,explicit_retrieval,2,9,292,81,655
mdgo_v05_probe_000216,mdgo_v05_fin_user_0012,long_gap_direct,1,5,296,156,451
mdgo_v05_probe_000217,mdgo_v05_fin_user_0012,implicit_direct,1,4,110,63.5,446
mdgo_v05_probe_000218,mdgo_v05_fin_user_0012,boundary_near_miss,1,1,191,191,416
mdgo_v05_probe_000219,mdgo_v05_fin_user_0012,boundary_plus_active,2,11,291,110,634
mdgo_v05_probe_000220,mdgo_v05_fin_user_0012,exception_nested,1,1,116,116,422
mdgo_v05_probe_000221,mdgo_v05_fin_user_0012,exception_plus_active,2,11,297,86,619
mdgo_v05_probe_000222,mdgo_v05_fin_user_0012,composition_pair,2,11,291,106,675
mdgo_v05_probe_000223,mdgo_v05_fin_user_0012,composition_pair_2,2,15,297,106,664
mdgo_v05_probe_000224,mdgo_v05_fin_user_0012,composition_triple,3,19,294,106,804
mdgo_v05_probe_000225,mdgo_v05_fin_user_0012,priority_pair,2,12,296,90.5,693
mdgo_v05_probe_000226,mdgo_v05_fin_user_0012,priority_triple,3,15,294,83,836
mdgo_v05_probe_000227,mdgo_v05_fin_user_0012,drift_recent_override,1,4,110,63.5,416
mdgo_v05_probe_000228,mdgo_v05_fin_user_0012,drift_composition,2,12,296,82.0,596
mdgo_v05_probe_000229,mdgo_v05_fin_user_0012,drift_exception,1,5,110,46,385
mdgo_v05_probe_000230,mdgo_v05_fin_user_0012,false_personalization,1,0,,,484
mdgo_v05_probe_000231,mdgo_v05_fin_user_0012,insufficient_evidence,1,1,266,266,484
mdgo_v05_probe_000232,mdgo_v05_fin_user_0012,temporal_scope,2,8,110,62.5,649
mdgo_v05_probe_000233,mdgo_v05_fin_user_0012,explicit_retrieval,2,9,294,83,632
mdgo_v05_probe_000234,mdgo_v05_fin_user_0013,long_gap_direct,1,5,297,157,468
mdgo_v05_probe_000235,mdgo_v05_fin_user_0013,implicit_direct,1,4,111,64.5,422
mdgo_v05_probe_000236,mdgo_v05_fin_user_0013,boundary_near_miss,1,0,,,499
mdgo_v05_probe_000237,mdgo_v05_fin_user_0013,boundary_plus_active,2,12,294,173.5,593
mdgo_v05_probe_000238,mdgo_v05_fin_user_0013,exception_nested,1,1,31,31,460
mdgo_v05_probe_000239,mdgo_v05_fin_user_0013,exception_plus_active,2,5,106,41,602
mdgo_v05_probe_000240,mdgo_v05_fin_user_0013,composition_pair,2,12,294,153.0,600
mdgo_v05_probe_000241,mdgo_v05_fin_user_0013,composition_pair_2,2,9,294,154,660
mdgo_v05_probe_000242,mdgo_v05_fin_user_0013,composition_triple,3,13,292,111,851
mdgo_v05_probe_000243,mdgo_v05_fin_user_0013,priority_pair,2,14,297,115.0,624
mdgo_v05_probe_000244,mdgo_v05_fin_user_0013,priority_triple,3,19,297,134,797
mdgo_v05_probe_000245,mdgo_v05_fin_user_0013,drift_recent_override,1,4,111,64.5,422
mdgo_v05_probe_000246,mdgo_v05_fin_user_0013,drift_composition,2,10,297,81.5,623
mdgo_v05_probe_000247,mdgo_v05_fin_user_0013,drift_exception,1,5,111,47,440
mdgo_v05_probe_000248,mdgo_v05_fin_user_0013,false_personalization,1,0,,,460
mdgo_v05_probe_000249,mdgo_v05_fin_user_0013,insufficient_evidence,1,1,267,267,460
mdgo_v05_probe_000250,mdgo_v05_fin_user_0013,temporal_scope,2,9,297,86,624
mdgo_v05_probe_000251,mdgo_v05_fin_user_0013,explicit_retrieval,2,9,297,86,684
mdgo_v05_probe_000252,mdgo_v05_fin_user_0014,long_gap_direct,1,5,294,154,438
mdgo_v05_probe_000253,mdgo_v05_fin_user_0014,implicit_direct,1,5,295,155,409
mdgo_v05_probe_000254,mdgo_v05_fin_user_0014,boundary_near_miss,1,0,,,422
mdgo_v05_probe_000255,mdgo_v05_fin_user_0014,boundary_plus_active,2,12,295,174.5,609
mdgo_v05_probe_000256,mdgo_v05_fin_user_0014,exception_nested,1,1,116,116,394
mdgo_v05_probe_000257,mdgo_v05_fin_user_0014,exception_plus_active,2,10,295,97.5,644
mdgo_v05_probe_000258,mdgo_v05_fin_user_0014,composition_pair,2,14,295,147.0,671
mdgo_v05_probe_000259,mdgo_v05_fin_user_0014,composition_pair_2,2,10,294,109.0,587
mdgo_v05_probe_000260,mdgo_v05_fin_user_0014,composition_triple,3,20,295,152.5,846
mdgo_v05_probe_000261,mdgo_v05_fin_user_0014,priority_pair,2,13,295,134,635
mdgo_v05_probe_000262,mdgo_v05_fin_user_0014,priority_triple,3,16,295,104.0,804
mdgo_v05_probe_000263,mdgo_v05_fin_user_0014,drift_recent_override,1,3,111,47,457
mdgo_v05_probe_000264,mdgo_v05_fin_user_0014,drift_composition,2,11,293,106,628
mdgo_v05_probe_000265,mdgo_v05_fin_user_0014,drift_exception,1,4,111,39.0,400
mdgo_v05_probe_000266,mdgo_v05_fin_user_0014,false_personalization,1,0,,,423
mdgo_v05_probe_000267,mdgo_v05_fin_user_0014,insufficient_evidence,1,1,265,265,470
mdgo_v05_probe_000268,mdgo_v05_fin_user_0014,temporal_scope,2,8,293,96.5,598
mdgo_v05_probe_000269,mdgo_v05_fin_user_0014,explicit_retrieval,2,10,294,152.5,635
mdgo_v05_probe_000270,mdgo_v05_fin_user_0015,long_gap_direct,1,5,294,154,468
mdgo_v05_probe_000271,mdgo_v05_fin_user_0015,implicit_direct,1,5,293,153,435
mdgo_v05_probe_000272,mdgo_v05_fin_user_0015,boundary_near_miss,1,1,192,192,429
mdgo_v05_probe_000273,mdgo_v05_fin_user_0015,boundary_plus_active,2,6,291,171.5,602
mdgo_v05_probe_000274,mdgo_v05_fin_user_0015,exception_nested,1,1,30,30,420
mdgo_v05_probe_000275,mdgo_v05_fin_user_0015,exception_plus_active,2,10,294,97.0,618
mdgo_v05_probe_000276,mdgo_v05_fin_user_0015,composition_pair,2,9,291,141,630
mdgo_v05_probe_000277,mdgo_v05_fin_user_0015,composition_pair_2,2,12,293,96.0,697
mdgo_v05_probe_000278,mdgo_v05_fin_user_0015,composition_triple,3,13,293,111,820
mdgo_v05_probe_000279,mdgo_v05_fin_user_0015,priority_pair,2,14,294,115.0,627
mdgo_v05_probe_000280,mdgo_v05_fin_user_0015,priority_triple,3,18,294,89.5,816
mdgo_v05_probe_000281,mdgo_v05_fin_user_0015,drift_recent_override,1,4,110,63.5,429
mdgo_v05_probe_000282,mdgo_v05_fin_user_0015,drift_composition,2,12,293,108.5,634
mdgo_v05_probe_000283,mdgo_v05_fin_user_0015,drift_exception,1,5,110,46,428
mdgo_v05_probe_000284,mdgo_v05_fin_user_0015,false_personalization,1,0,,,477
mdgo_v05_probe_000285,mdgo_v05_fin_user_0015,insufficient_evidence,1,1,271,271,492
mdgo_v05_probe_000286,mdgo_v05_fin_user_0015,temporal_scope,2,10,293,152.0,682
mdgo_v05_probe_000287,mdgo_v05_fin_user_0015,explicit_retrieval,2,8,293,96.5,628
mdgo_v05_probe_000288,mdgo_v05_fin_user_0016,long_gap_direct,1,3,233,157,429
mdgo_v05_probe_000289,mdgo_v05_fin_user_0016,implicit_direct,1,5,295,155,426
