probe_id,probe_type,gold_choice_id,gold_word_count,mean_distractor_word_count,gold_minus_distractor_mean,longest_choice_ids,shortest_choice_ids,longest_baseline_credit,shortest_baseline_credit
mdgo_v05_probe_000021,boundary_plus_active,B,72,76.667,-4.667,A,B,0.0,1.0
mdgo_v05_probe_000022,exception_nested,C,43,43.333,-0.333,A,"B,C,D",0.0,0.3333
mdgo_v05_probe_000023,exception_plus_active,D,69,76,-7,A,D,0.0,1.0
mdgo_v05_probe_000024,composition_pair,A,71,68.333,2.667,"A,C",B,0.5,0.0
mdgo_v05_probe_000025,composition_pair_2,B,59,63.333,-4.333,D,B,0.0,1.0
mdgo_v05_probe_000026,composition_triple,C,91,88,3,"C,D",B,0.5,0.0
mdgo_v05_probe_000027,priority_pair,D,64,65,-1,B,C,0.0,0.0
mdgo_v05_probe_000028,priority_triple,A,87,91.667,-4.667,C,B,0.0,0.0
mdgo_v05_probe_000029,drift_recent_override,B,40,49.667,-9.667,C,B,0.0,1.0
mdgo_v05_probe_000030,drift_composition,C,63,71,-8,A,"C,D",0.0,0.5
mdgo_v05_probe_000031,drift_exception,D,57,39.333,17.667,D,A,1.0,0.0
mdgo_v05_probe_000032,false_personalization,A,53,55.667,-2.667,B,C,0.0,0.0
mdgo_v05_probe_000033,insufficient_evidence,B,53,55,-2,A,B,0.0,1.0
mdgo_v05_probe_000034,temporal_scope,C,64,75,-11,A,C,0.0,1.0
mdgo_v05_probe_000035,explicit_retrieval,D,63,63,0,B,"A,C",0.0,0.0
mdgo_v05_probe_000036,long_gap_direct,A,56,42.667,13.333,A,D,1.0,0.0
mdgo_v05_probe_000037,implicit_direct,B,44,43.667,0.333,C,D,0.0,0.0
mdgo_v05_probe_000038,boundary_near_miss,C,39,41.333,-2.333,B,"A,C,D",0.0,0.3333
mdgo_v05_probe_000039,boundary_plus_active,D,63,63,0,C,"A,B",0.0,0.0
mdgo_v05_probe_000040,exception_nested,A,41,44.667,-3.667,C,D,0.0,0.0
mdgo_v05_probe_000041,exception_plus_active,B,77,72.333,4.667,A,D,0.0,0.0
mdgo_v05_probe_000042,composition_pair,C,71,75.667,-4.667,"A,B","C,D",0.0,0.5
mdgo_v05_probe_000043,composition_pair_2,D,75,73.667,1.333,C,A,0.0,0.0
mdgo_v05_probe_000044,composition_triple,A,84,85.333,-1.333,B,C,0.0,0.0
mdgo_v05_probe_000045,priority_pair,B,68,67.667,0.333,C,D,0.0,0.0
mdgo_v05_probe_000046,priority_triple,C,89,88.667,0.333,B,A,0.0,0.0
mdgo_v05_probe_000047,drift_recent_override,D,44,42.667,1.333,B,A,0.0,0.0
mdgo_v05_probe_000048,drift_composition,A,65,69.333,-4.333,D,B,0.0,0.0
mdgo_v05_probe_000049,drift_exception,B,46,47.667,-1.667,D,A,0.0,0.0
mdgo_v05_probe_000050,false_personalization,C,52,56,-4,B,C,0.0,1.0
mdgo_v05_probe_000051,insufficient_evidence,D,59,60.667,-1.667,B,A,0.0,0.0
mdgo_v05_probe_000052,temporal_scope,A,72,66.333,5.667,C,B,0.0,0.0
mdgo_v05_probe_000053,explicit_retrieval,B,67,74,-7,A,B,0.0,1.0
mdgo_v05_probe_000054,long_gap_direct,C,41,43,-2,D,B,0.0,0.0
mdgo_v05_probe_000055,implicit_direct,D,43,51,-8,A,D,0.0,1.0
mdgo_v05_probe_000056,boundary_near_miss,A,46,50.667,-4.667,"B,D",A,0.0,1.0
mdgo_v05_probe_000057,boundary_plus_active,B,70,66.667,3.333,A,C,0.0,0.0
mdgo_v05_probe_000058,exception_nested,C,42,49,-7,B,C,0.0,1.0
mdgo_v05_probe_000059,exception_plus_active,D,71,70,1,D,"A,B,C",1.0,0.0
mdgo_v05_probe_000060,composition_pair,A,79,74,5,A,C,1.0,0.0
mdgo_v05_probe_000061,composition_pair_2,B,66,67.333,-1.333,C,B,0.0,1.0
mdgo_v05_probe_000062,composition_triple,C,93,96.333,-3.333,A,D,0.0,0.0
mdgo_v05_probe_000063,priority_pair,D,72,80,-8,C,D,0.0,1.0
mdgo_v05_probe_000064,priority_triple,A,94,96.667,-2.667,D,B,0.0,0.0
mdgo_v05_probe_000065,drift_recent_override,B,41,41,0,D,A,0.0,0.0
mdgo_v05_probe_000066,drift_composition,C,66,75,-9,B,C,0.0,1.0
mdgo_v05_probe_000067,drift_exception,D,45,41,4,D,"A,B",1.0,0.0
mdgo_v05_probe_000068,false_personalization,A,50,55.667,-5.667,D,A,0.0,1.0
mdgo_v05_probe_000069,insufficient_evidence,B,56,55.333,0.667,D,C,0.0,0.0
mdgo_v05_probe_000070,temporal_scope,C,71,79.333,-8.333,D,C,0.0,1.0
mdgo_v05_probe_000071,explicit_retrieval,D,78,72.667,5.333,D,B,1.0,0.0
mdgo_v05_probe_000072,long_gap_direct,A,38,39,-1,C,"B,D",0.0,0.0
mdgo_v05_probe_000073,implicit_direct,B,52,46,6,C,A,0.0,0.0
mdgo_v05_probe_000074,boundary_near_miss,C,58,51,7,C,B,1.0,0.0
mdgo_v05_probe_000075,boundary_plus_active,D,67,64.667,2.333,"A,D",B,0.5,0.0
mdgo_v05_probe_000076,exception_nested,A,57,47.667,9.333,A,D,1.0,0.0
mdgo_v05_probe_000077,exception_plus_active,B,69,73,-4,D,A,0.0,0.0
mdgo_v05_probe_000078,composition_pair,C,66,70.333,-4.333,B,C,0.0,1.0
mdgo_v05_probe_000079,composition_pair_2,D,80,73.667,6.333,D,C,1.0,0.0
mdgo_v05_probe_000080,composition_triple,A,89,90,-1,"B,C,D",A,0.0,1.0
mdgo_v05_probe_000081,priority_pair,B,83,67.333,15.667,B,A,1.0,0.0
mdgo_v05_probe_000082,priority_triple,C,102,91.333,10.667,C,A,1.0,0.0
mdgo_v05_probe_000083,drift_recent_override,D,53,44,9,D,B,1.0,0.0
mdgo_v05_probe_000084,drift_composition,A,65,62.667,2.333,A,B,1.0,0.0
mdgo_v05_probe_000085,drift_exception,B,44,42.667,1.333,"B,D",C,0.5,0.0
mdgo_v05_probe_000086,false_personalization,C,50,57,-7,A,C,0.0,1.0
mdgo_v05_probe_000087,insufficient_evidence,D,56,57.667,-1.667,B,"A,C",0.0,0.0
mdgo_v05_probe_000088,temporal_scope,A,65,65.667,-0.667,"C,D","A,B",0.0,0.5
mdgo_v05_probe_000089,explicit_retrieval,B,76,73,3,A,C,0.0,0.0
mdgo_v05_probe_000090,long_gap_direct,C,39,41,-2,B,D,0.0,0.0
mdgo_v05_probe_000091,implicit_direct,D,45,48.333,-3.333,C,B,0.0,0.0
mdgo_v05_probe_000092,boundary_near_miss,A,49,40.667,8.333,A,B,1.0,0.0
mdgo_v05_probe_000093,boundary_plus_active,B,71,74.667,-3.667,D,C,0.0,0.0
mdgo_v05_probe_000094,exception_nested,C,51,42.333,8.667,C,D,1.0,0.0
mdgo_v05_probe_000095,exception_plus_active,D,66,73.667,-7.667,B,D,0.0,1.0
mdgo_v05_probe_000096,composition_pair,A,69,70.667,-1.667,B,D,0.0,0.0
mdgo_v05_probe_000097,composition_pair_2,B,68,74,-6,C,A,0.0,0.0
mdgo_v05_probe_000098,composition_triple,C,96,96.667,-0.667,A,"B,D",0.0,0.0
mdgo_v05_probe_000099,priority_pair,D,72,74.667,-2.667,A,C,0.0,0.0
mdgo_v05_probe_000100,priority_triple,A,101,105.333,-4.333,D,"A,C",0.0,0.5
mdgo_v05_probe_000101,drift_recent_override,B,40,45,-5,D,B,0.0,1.0
mdgo_v05_probe_000102,drift_composition,C,68,75.667,-7.667,B,C,0.0,1.0
mdgo_v05_probe_000103,drift_exception,D,38,40.333,-2.333,C,D,0.0,1.0
mdgo_v05_probe_000104,false_personalization,A,52,56,-4,B,"A,D",0.0,0.5
mdgo_v05_probe_000105,insufficient_evidence,B,66,58.667,7.333,C,D,0.0,0.0
mdgo_v05_probe_000106,temporal_scope,C,77,68.333,8.667,C,B,1.0,0.0
mdgo_v05_probe_000107,explicit_retrieval,D,70,76.333,-6.333,B,D,0.0,1.0
mdgo_v05_probe_000108,long_gap_direct,A,42,38.333,3.667,A,B,1.0,0.0
mdgo_v05_probe_000109,implicit_direct,B,44,42,2,B,A,1.0,0.0
mdgo_v05_probe_000110,boundary_near_miss,C,39,47.333,-8.333,B,C,0.0,1.0
mdgo_v05_probe_000111,boundary_plus_active,D,75,72.333,2.667,A,B,0.0,0.0
mdgo_v05_probe_000112,exception_nested,A,51,40.667,10.333,A,D,1.0,0.0
mdgo_v05_probe_000113,exception_plus_active,B,67,68.333,-1.333,A,D,0.0,0.0
mdgo_v05_probe_000114,composition_pair,C,68,71.667,-3.667,B,"A,C,D",0.0,0.3333
mdgo_v05_probe_000115,composition_pair_2,D,76,70.333,5.667,D,B,1.0,0.0
mdgo_v05_probe_000116,composition_triple,A,89,89.667,-0.667,"B,D","A,C",0.0,0.5
mdgo_v05_probe_000117,priority_pair,B,69,77,-8,C,D,0.0,0.0
mdgo_v05_probe_000118,priority_triple,C,96,98,-2,A,"B,D",0.0,0.0
mdgo_v05_probe_000119,drift_recent_override,D,58,43.333,14.667,D,A,1.0,0.0
mdgo_v05_probe_000120,drift_composition,A,70,70.667,-0.667,D,C,0.0,0.0
mdgo_v05_probe_000121,drift_exception,B,42,42,0,D,"A,C",0.0,0.0
mdgo_v05_probe_000122,false_personalization,C,53,56,-3,D,A,0.0,0.0
mdgo_v05_probe_000123,insufficient_evidence,D,56,60.333,-4.333,A,B,0.0,0.0
mdgo_v05_probe_000124,temporal_scope,A,76,77,-1,C,"B,D",0.0,0.0
mdgo_v05_probe_000125,explicit_retrieval,B,66,69,-3,C,"A,B",0.0,0.5
mdgo_v05_probe_000126,long_gap_direct,C,43,53,-10,B,C,0.0,1.0
mdgo_v05_probe_000127,implicit_direct,D,43,47.333,-4.333,B,C,0.0,0.0
mdgo_v05_probe_000128,boundary_near_miss,A,42,40.333,1.667,"A,B",C,0.5,0.0
mdgo_v05_probe_000129,boundary_plus_active,B,65,72.333,-7.333,C,B,0.0,1.0
mdgo_v05_probe_000130,exception_nested,C,36,41.333,-5.333,"A,D",C,0.0,1.0
mdgo_v05_probe_000131,exception_plus_active,D,64,72.667,-8.667,B,D,0.0,1.0
mdgo_v05_probe_000132,composition_pair,A,72,74,-2,D,C,0.0,0.0
mdgo_v05_probe_000133,composition_pair_2,B,64,72,-8,C,B,0.0,1.0
mdgo_v05_probe_000134,composition_triple,C,91,95.667,-4.667,B,A,0.0,0.0
mdgo_v05_probe_000135,priority_pair,D,65,68.333,-3.333,C,D,0.0,1.0
mdgo_v05_probe_000136,priority_triple,A,100,98.667,1.333,B,C,0.0,0.0
mdgo_v05_probe_000137,drift_recent_override,B,42,40.667,1.333,"A,B","C,D",0.5,0.0
mdgo_v05_probe_000138,drift_composition,C,71,69.667,1.333,C,B,1.0,0.0
mdgo_v05_probe_000139,drift_exception,D,53,41,12,D,C,1.0,0.0
mdgo_v05_probe_000140,false_personalization,A,53,60.667,-7.667,D,A,0.0,1.0
mdgo_v05_probe_000141,insufficient_evidence,B,55,56,-1,"A,D",C,0.0,0.0
mdgo_v05_probe_000142,temporal_scope,C,68,65.333,2.667,C,D,1.0,0.0
mdgo_v05_probe_000143,explicit_retrieval,D,65,62.667,2.333,"C,D",A,0.5,0.0
mdgo_v05_probe_000144,long_gap_direct,A,44,50.667,-6.667,B,D,0.0,0.0
mdgo_v05_probe_000145,implicit_direct,B,61,44,17,B,D,1.0,0.0
mdgo_v05_probe_000146,boundary_near_miss,C,44,48.667,-4.667,D,A,0.0,0.0
mdgo_v05_probe_000147,boundary_plus_active,D,74,72.667,1.333,B,A,0.0,0.0
mdgo_v05_probe_000148,exception_nested,A,46,52,-6,"B,C",D,0.0,0.0
mdgo_v05_probe_000149,exception_plus_active,B,76,65,11,B,D,1.0,0.0
mdgo_v05_probe_000150,composition_pair,C,77,69.333,7.667,D,B,0.0,0.0
mdgo_v05_probe_000151,composition_pair_2,D,67,65,2,B,C,0.0,0.0
mdgo_v05_probe_000152,composition_triple,A,95,98.667,-3.667,"B,D",C,0.0,0.0
mdgo_v05_probe_000153,priority_pair,B,68,70.667,-2.667,A,C,0.0,0.0
mdgo_v05_probe_000154,priority_triple,C,107,90.667,16.333,C,D,1.0,0.0
mdgo_v05_probe_000155,drift_recent_override,D,44,50.333,-6.333,C,A,0.0,0.0
mdgo_v05_probe_000156,drift_composition,A,71,71.667,-0.667,"B,D","A,C",0.0,0.5
mdgo_v05_probe_000157,drift_exception,B,53,47.333,5.667,"B,C",A,0.5,0.0
mdgo_v05_probe_000158,false_personalization,C,53,56.667,-3.667,A,B,0.0,0.0
mdgo_v05_probe_000159,insufficient_evidence,D,56,55,1,"C,D",B,0.5,0.0
mdgo_v05_probe_000160,temporal_scope,A,72,79.667,-7.667,C,A,0.0,1.0
mdgo_v05_probe_000161,explicit_retrieval,B,82,76.667,5.333,A,D,0.0,0.0
mdgo_v05_probe_000162,long_gap_direct,C,42,40.667,1.333,B,A,0.0,0.0
mdgo_v05_probe_000163,implicit_direct,D,53,40.333,12.667,D,"A,B",1.0,0.0
mdgo_v05_probe_000164,boundary_near_miss,A,41,41.333,-0.333,C,"A,B,D",0.0,0.3333
mdgo_v05_probe_000165,boundary_plus_active,B,77,69,8,B,A,1.0,0.0
mdgo_v05_probe_000166,exception_nested,C,55,53.333,1.667,A,D,0.0,0.0
mdgo_v05_probe_000167,exception_plus_active,D,66,62.667,3.333,D,C,1.0,0.0
mdgo_v05_probe_000168,composition_pair,A,73,63,10,A,D,1.0,0.0
mdgo_v05_probe_000169,composition_pair_2,B,80,83.333,-3.333,A,D,0.0,0.0
mdgo_v05_probe_000170,composition_triple,C,107,95,12,C,B,1.0,0.0
mdgo_v05_probe_000171,priority_pair,D,78,73.333,4.667,D,A,1.0,0.0
mdgo_v05_probe_000172,priority_triple,A,85,88.333,-3.333,"C,D",A,0.0,1.0
mdgo_v05_probe_000173,drift_recent_override,B,43,46.333,-3.333,D,A,0.0,0.0
mdgo_v05_probe_000174,drift_composition,C,56,69.333,-13.333,"A,B",C,0.0,1.0
mdgo_v05_probe_000175,drift_exception,D,37,49.667,-12.667,B,D,0.0,1.0
mdgo_v05_probe_000176,false_personalization,A,53,52,1,D,B,0.0,0.0
mdgo_v05_probe_000177,insufficient_evidence,B,56,54.333,1.667,A,C,0.0,0.0
mdgo_v05_probe_000178,temporal_scope,C,66,70.667,-4.667,A,C,0.0,1.0
mdgo_v05_probe_000179,explicit_retrieval,D,76,78,-2,B,C,0.0,0.0
mdgo_v05_probe_000180,long_gap_direct,A,44,43.333,0.667,"A,B","C,D",0.5,0.0
mdgo_v05_probe_000181,implicit_direct,B,55,41.333,13.667,B,C,1.0,0.0
mdgo_v05_probe_000182,boundary_near_miss,C,55,50.333,4.667,A,D,0.0,0.0
mdgo_v05_probe_000183,boundary_plus_active,D,65,66,-1,B,A,0.0,0.0
mdgo_v05_probe_000184,exception_nested,A,44,45.333,-1.333,C,B,0.0,0.0
mdgo_v05_probe_000185,exception_plus_active,B,69,71.333,-2.333,A,C,0.0,0.0
mdgo_v05_probe_000186,composition_pair,C,66,72,-6,A,C,0.0,1.0
mdgo_v05_probe_000187,composition_pair_2,D,84,75,9,D,A,1.0,0.0
mdgo_v05_probe_000188,composition_triple,A,105,103.333,1.667,C,D,0.0,0.0
mdgo_v05_probe_000189,priority_pair,B,73,70.333,2.667,A,C,0.0,0.0
mdgo_v05_probe_000190,priority_triple,C,89,96.667,-7.667,"A,D",B,0.0,0.0
mdgo_v05_probe_000191,drift_recent_override,D,40,40.333,-0.333,C,B,0.0,0.0
mdgo_v05_probe_000192,drift_composition,A,68,71.667,-3.667,B,D,0.0,0.0
mdgo_v05_probe_000193,drift_exception,B,38,41.333,-3.333,"A,C",B,0.0,1.0
mdgo_v05_probe_000194,false_personalization,C,53,56,-3,A,B,0.0,0.0
mdgo_v05_probe_000195,insufficient_evidence,D,56,59.333,-3.333,A,C,0.0,0.0
mdgo_v05_probe_000196,temporal_scope,A,63,70.333,-7.333,D,A,0.0,1.0
mdgo_v05_probe_000197,explicit_retrieval,B,67,70,-3,C,A,0.0,0.0
mdgo_v05_probe_000198,long_gap_direct,C,44,41,3,"A,C",D,0.5,0.0
mdgo_v05_probe_000199,implicit_direct,D,40,46.667,-6.667,A,D,0.0,1.0
mdgo_v05_probe_000200,boundary_near_miss,A,55,40.333,14.667,A,B,1.0,0.0
mdgo_v05_probe_000201,boundary_plus_active,B,76,74.667,1.333,A,C,0.0,0.0
mdgo_v05_probe_000202,exception_nested,C,40,40.667,-0.667,"B,D","A,C",0.0,0.5
mdgo_v05_probe_000203,exception_plus_active,D,74,77.667,-3.667,B,C,0.0,0.0
mdgo_v05_probe_000204,composition_pair,A,84,75.667,8.333,A,D,1.0,0.0
mdgo_v05_probe_000205,composition_pair_2,B,63,67.333,-4.333,C,B,0.0,1.0
mdgo_v05_probe_000206,composition_triple,C,92,89,3,"B,C",A,0.5,0.0
mdgo_v05_probe_000207,priority_pair,D,65,66.667,-1.667,B,C,0.0,0.0
mdgo_v05_probe_000208,priority_triple,A,96,94,2,A,D,1.0,0.0
mdgo_v05_probe_000209,drift_recent_override,B,44,47.333,-3.333,A,D,0.0,0.0
mdgo_v05_probe_000210,drift_composition,C,77,72,5,C,A,1.0,0.0
mdgo_v05_probe_000211,drift_exception,D,39,41.333,-2.333,C,D,0.0,1.0
mdgo_v05_probe_000212,false_personalization,A,53,51,2,C,"B,D",0.0,0.0
mdgo_v05_probe_000213,insufficient_evidence,B,56,59,-3,D,C,0.0,0.0
mdgo_v05_probe_000214,temporal_scope,C,82,78.667,3.333,"C,D",B,0.5,0.0
mdgo_v05_probe_000215,explicit_retrieval,D,84,68.667,15.333,D,A,1.0,0.0
mdgo_v05_probe_000216,long_gap_direct,A,39,50.667,-11.667,D,A,0.0,1.0
mdgo_v05_probe_000217,implicit_direct,B,41,47,-6,D,B,0.0,1.0
mdgo_v05_probe_000218,boundary_near_miss,C,38,42.333,-4.333,A,C,0.0,1.0
mdgo_v05_probe_000219,boundary_plus_active,D,67,70.333,-3.333,B,"A,C",0.0,0.0
mdgo_v05_probe_000220,exception_nested,A,38,42.667,-4.667,D,A,0.0,1.0
mdgo_v05_probe_000221,exception_plus_active,B,80,68.667,11.333,B,C,1.0,0.0
mdgo_v05_probe_000222,composition_pair,C,83,74,9,C,"A,D",1.0,0.0
mdgo_v05_probe_000223,composition_pair_2,D,80,74.667,5.333,D,"A,C",1.0,0.0
mdgo_v05_probe_000224,composition_triple,A,109,97.667,11.333,A,C,1.0,0.0
mdgo_v05_probe_000225,priority_pair,B,65,79.333,-14.333,A,B,0.0,1.0
mdgo_v05_probe_000226,priority_triple,C,98,102,-4,D,A,0.0,0.0
mdgo_v05_probe_000227,drift_recent_override,D,41,43.333,-2.333,"B,C",D,0.0,1.0
mdgo_v05_probe_000228,drift_composition,A,64,67,-3,C,D,0.0,0.0
mdgo_v05_probe_000229,drift_exception,B,43,40,3,B,C,1.0,0.0
mdgo_v05_probe_000230,false_personalization,C,53,59,-6,B,"C,D",0.0,0.5
mdgo_v05_probe_000231,insufficient_evidence,D,59,55.333,3.667,C,B,0.0,0.0
mdgo_v05_probe_000232,temporal_scope,A,69,74,-5,B,D,0.0,0.0
mdgo_v05_probe_000233,explicit_retrieval,B,70,70,0,A,C,0.0,0.0
mdgo_v05_probe_000234,long_gap_direct,C,45,46.333,-1.333,B,A,0.0,0.0
mdgo_v05_probe_000235,implicit_direct,D,44,42.333,1.667,"A,D",C,0.5,0.0
mdgo_v05_probe_000236,boundary_near_miss,A,52,53.333,-1.333,C,"A,B,D",0.0,0.3333
mdgo_v05_probe_000237,boundary_plus_active,B,64,66.333,-2.333,C,A,0.0,0.0
mdgo_v05_probe_000238,exception_nested,C,53,47.667,5.333,B,D,0.0,0.0
mdgo_v05_probe_000239,exception_plus_active,D,66,72,-6,B,"A,D",0.0,0.5
mdgo_v05_probe_000240,composition_pair,A,64,65,-1,D,C,0.0,0.0
mdgo_v05_probe_000241,composition_pair_2,B,72,80.333,-8.333,C,B,0.0,1.0
mdgo_v05_probe_000242,composition_triple,C,100,103.333,-3.333,"B,D","A,C",0.0,0.5
mdgo_v05_probe_000243,priority_pair,D,80,68.667,11.333,D,C,1.0,0.0
mdgo_v05_probe_000244,priority_triple,A,92,93,-1,C,B,0.0,0.0
mdgo_v05_probe_000245,drift_recent_override,B,45,44.333,0.667,D,C,0.0,0.0
mdgo_v05_probe_000246,drift_composition,C,74,70.333,3.667,B,A,0.0,0.0
mdgo_v05_probe_000247,drift_exception,D,44,48.667,-4.667,C,"B,D",0.0,0.5
mdgo_v05_probe_000248,false_personalization,A,53,56,-3,B,D,0.0,0.0
mdgo_v05_probe_000249,insufficient_evidence,B,56,54,2,A,C,0.0,0.0
mdgo_v05_probe_000250,temporal_scope,C,71,69.667,1.333,"B,C",D,0.5,0.0
mdgo_v05_probe_000251,explicit_retrieval,D,70,77.333,-7.333,"B,C","A,D",0.0,0.5
mdgo_v05_probe_000252,long_gap_direct,A,41,46.333,-5.333,C,A,0.0,1.0
mdgo_v05_probe_000253,implicit_direct,B,42,40.333,1.667,A,C,0.0,0.0
mdgo_v05_probe_000254,boundary_near_miss,C,50,41.667,8.333,C,D,1.0,0.0
mdgo_v05_probe_000255,boundary_plus_active,D,70,67.667,2.333,"A,D",C,0.5,0.0
mdgo_v05_probe_000256,exception_nested,A,42,41.667,0.333,B,D,0.0,0.0
mdgo_v05_probe_000257,exception_plus_active,B,85,76.333,8.667,B,D,1.0,0.0
mdgo_v05_probe_000258,composition_pair,C,82,75.667,6.333,A,D,0.0,0.0
mdgo_v05_probe_000259,composition_pair_2,D,65,66.333,-1.333,A,"B,D",0.0,0.5
mdgo_v05_probe_000260,composition_triple,A,104,100.667,3.333,"A,C",D,0.5,0.0
mdgo_v05_probe_000261,priority_pair,B,69,73.667,-4.667,D,A,0.0,0.0
mdgo_v05_probe_000262,priority_triple,C,92,96.333,-4.333,B,"A,D",0.0,0.0
mdgo_v05_probe_000263,drift_recent_override,D,43,49,-6,"A,C",B,0.0,0.0
mdgo_v05_probe_000264,drift_composition,A,66,73.667,-7.667,D,A,0.0,1.0
mdgo_v05_probe_000265,drift_exception,B,38,43.333,-5.333,C,B,0.0,1.0
mdgo_v05_probe_000266,false_personalization,C,52,52.333,-0.333,D,A,0.0,0.0
mdgo_v05_probe_000267,insufficient_evidence,D,56,55.333,0.667,C,A,0.0,0.0
mdgo_v05_probe_000268,temporal_scope,A,68,66.667,1.333,A,C,1.0,0.0
mdgo_v05_probe_000269,explicit_retrieval,B,67,71.333,-4.333,A,D,0.0,0.0
mdgo_v05_probe_000270,long_gap_direct,C,46,49.333,-3.333,D,B,0.0,0.0
mdgo_v05_probe_000271,implicit_direct,D,36,46,-10,A,D,0.0,1.0
mdgo_v05_probe_000272,boundary_near_miss,A,42,44.667,-2.667,B,C,0.0,0.0
mdgo_v05_probe_000273,boundary_plus_active,B,73,61,12,B,D,1.0,0.0
mdgo_v05_probe_000274,exception_nested,C,39,42.667,-3.667,D,C,0.0,1.0
mdgo_v05_probe_000275,exception_plus_active,D,75,71,4,C,A,0.0,0.0
mdgo_v05_probe_000276,composition_pair,A,70,70.667,-0.667,D,B,0.0,0.0
mdgo_v05_probe_000277,composition_pair_2,B,73,73.333,-0.333,A,D,0.0,0.0
mdgo_v05_probe_000278,composition_triple,C,99,98.333,0.667,B,A,0.0,0.0
mdgo_v05_probe_000279,priority_pair,D,76,66.333,9.667,D,C,1.0,0.0
mdgo_v05_probe_000280,priority_triple,A,87,90.667,-3.667,D,C,0.0,0.0
mdgo_v05_probe_000281,drift_recent_override,B,43,43.667,-0.667,D,C,0.0,0.0
mdgo_v05_probe_000282,drift_composition,C,71,68.667,2.333,A,B,0.0,0.0
mdgo_v05_probe_000283,drift_exception,D,43,42.333,0.667,C,B,0.0,0.0
mdgo_v05_probe_000284,false_personalization,A,53,61.667,-8.667,B,A,0.0,1.0
mdgo_v05_probe_000285,insufficient_evidence,B,67,55.333,11.667,B,D,1.0,0.0
mdgo_v05_probe_000286,temporal_scope,C,81,76.667,4.333,"C,D",B,0.5,0.0
mdgo_v05_probe_000287,explicit_retrieval,D,64,68.667,-4.667,A,D,0.0,1.0
mdgo_v05_probe_000288,long_gap_direct,A,42,43,-1,"B,D",C,0.0,0.0
mdgo_v05_probe_000289,implicit_direct,B,39,41,-2,"A,C,D",B,0.0,1.0
mdgo_v05_probe_000290,boundary_near_miss,C,42,45.667,-3.667,A,C,0.0,1.0
mdgo_v05_probe_000291,boundary_plus_active,D,69,69,0,A,C,0.0,0.0
mdgo_v05_probe_000292,exception_nested,A,54,51.333,2.667,D,B,0.0,0.0
mdgo_v05_probe_000293,exception_plus_active,B,73,70.333,2.667,D,A,0.0,0.0
mdgo_v05_probe_000294,composition_pair,C,66,68.333,-2.333,D,B,0.0,0.0
mdgo_v05_probe_000295,composition_pair_2,D,67,74,-7,"B,C",D,0.0,1.0
mdgo_v05_probe_000296,composition_triple,A,91,100.667,-9.667,B,A,0.0,1.0
mdgo_v05_probe_000297,priority_pair,B,65,71,-6,A,B,0.0,1.0
mdgo_v05_probe_000298,priority_triple,C,89,92,-3,D,C,0.0,1.0
mdgo_v05_probe_000299,drift_recent_override,D,44,43.333,0.667,B,C,0.0,0.0
mdgo_v05_probe_000300,drift_composition,A,59,61.333,-2.333,C,D,0.0,0.0
mdgo_v05_probe_000301,drift_exception,B,44,45,-1,D,A,0.0,0.0
mdgo_v05_probe_000302,false_personalization,C,53,53.333,-0.333,B,D,0.0,0.0
mdgo_v05_probe_000303,insufficient_evidence,D,56,55.333,0.667,C,B,0.0,0.0
