probe_id,user_id,domain,probe_type,required_groups,best_resolved_groups,unresolved_groups_in_best_window,best_window_start_session,best_window_end_session,history_chars,window_char_budget
mdgo_v11_probe_000071,mdgo_v05_sof_user_0006,software,dual_asof_reversal,2,0,2,0,233,322287,140000
mdgo_v11_probe_000072,mdgo_v05_fin_user_0020,finance,triple_asof_interleaved,3,0,3,0,232,328930,140000
mdgo_v11_probe_000073,mdgo_v05_sof_user_0005,software,reference_case_reconstruction,3,1,2,184,413,318937,140000
mdgo_v11_probe_000074,mdgo_v05_fin_user_0032,finance,triple_asof_interleaved,3,0,3,0,223,342639,140000
mdgo_v11_probe_000075,mdgo_v05_fin_user_0001,finance,reference_case_reconstruction,3,1,2,195,412,338269,140000
mdgo_v11_probe_000076,mdgo_v07_sof_user_0009,software,provenance_weighted_triple,3,0,3,0,235,322372,140000
mdgo_v11_probe_000077,mdgo_v05_fin_user_0007,finance,triple_asof_interleaved,3,0,3,0,227,337224,140000
mdgo_v11_probe_000078,mdgo_v05_fin_user_0002,finance,surface_decoy_pair,2,0,2,0,225,339141,140000
mdgo_v11_probe_000079,mdgo_v05_fin_user_0009,finance,dual_asof_reversal,2,0,2,0,216,341182,140000
mdgo_v11_probe_000080,mdgo_v05_fin_user_0007,finance,dual_asof_reversal,2,0,2,0,227,337224,140000
mdgo_v11_probe_000081,mdgo_v05_sof_user_0007,software,triple_asof_interleaved,3,0,3,0,236,321840,140000
mdgo_v11_probe_000082,mdgo_v05_fin_user_0031,finance,suggestion_rejection_pair,2,0,2,0,224,338178,140000
mdgo_v11_probe_000083,mdgo_v05_fin_user_0010,finance,dual_asof_reversal,2,0,2,0,230,335012,140000
mdgo_v11_probe_000084,mdgo_v05_sof_user_0003,software,triple_asof_interleaved,3,0,3,0,242,314399,140000
mdgo_v11_probe_000085,mdgo_v07_sof_user_0013,software,surface_decoy_pair,2,0,2,0,245,316556,140000
mdgo_v11_probe_000086,mdgo_v05_fin_user_0019,finance,triple_asof_interleaved,3,0,3,0,225,338631,140000
mdgo_v11_probe_000087,mdgo_v05_fin_user_0027,finance,surface_decoy_pair,2,0,2,0,220,342331,140000
mdgo_v11_probe_000088,mdgo_v07_sof_user_0013,software,suggestion_rejection_pair,2,0,2,0,245,316556,140000
mdgo_v11_probe_000089,mdgo_v05_fin_user_0007,finance,suggestion_rejection_pair,2,0,2,0,227,337224,140000
mdgo_v11_probe_000090,mdgo_v05_fin_user_0034,finance,surface_decoy_pair,2,0,2,0,221,337663,140000
mdgo_v11_probe_000091,mdgo_v05_fin_user_0023,finance,provenance_weighted_triple,3,0,3,0,228,336961,140000
mdgo_v11_probe_000092,mdgo_v05_fin_user_0034,finance,dual_asof_reversal,2,0,2,0,221,337663,140000
mdgo_v11_probe_000093,mdgo_v05_fin_user_0024,finance,reference_case_reconstruction,3,1,2,199,412,340270,140000
mdgo_v11_probe_000094,mdgo_v05_fin_user_0033,finance,reference_case_reconstruction,3,1,2,120,344,330817,140000
mdgo_v11_probe_000095,mdgo_v05_sof_user_0001,software,reference_case_reconstruction,3,1,2,183,412,322282,140000
mdgo_v11_probe_000096,mdgo_v05_fin_user_0033,finance,surface_decoy_pair,2,0,2,0,230,330817,140000
mdgo_v11_probe_000097,mdgo_v05_fin_user_0013,finance,surface_decoy_pair,2,0,2,0,217,345552,140000
mdgo_v11_probe_000098,mdgo_v05_sof_user_0006,software,triple_asof_interleaved,3,0,3,0,233,322287,140000
mdgo_v11_probe_000099,mdgo_v05_fin_user_0035,finance,suggestion_rejection_pair,2,0,2,0,230,332598,140000
mdgo_v11_probe_000100,mdgo_v07_sof_user_0011,software,surface_decoy_pair,2,0,2,0,238,325058,140000
mdgo_v11_probe_000101,mdgo_v05_fin_user_0004,finance,dual_asof_reversal,2,0,2,0,226,332730,140000
mdgo_v11_probe_000102,mdgo_v05_fin_user_0017,finance,suggestion_rejection_pair,2,0,2,0,217,341010,140000
mdgo_v11_probe_000103,mdgo_v05_sof_user_0001,software,surface_decoy_pair,2,0,2,0,234,322282,140000
mdgo_v11_probe_000104,mdgo_v05_fin_user_0021,finance,surface_decoy_pair,2,0,2,0,232,333807,140000
mdgo_v11_probe_000105,mdgo_v05_fin_user_0035,finance,suggestion_rejection_pair,2,0,2,0,230,332598,140000
mdgo_v11_probe_000106,mdgo_v05_sof_user_0006,software,triple_asof_interleaved,3,0,3,0,233,322287,140000
mdgo_v11_probe_000107,mdgo_v07_sof_user_0016,software,scope_temporal_pair,2,0,2,0,233,324189,140000
mdgo_v11_probe_000108,mdgo_v05_fin_user_0024,finance,triple_asof_interleaved,3,0,3,0,226,340270,140000
mdgo_v11_probe_000109,mdgo_v07_sof_user_0011,software,surface_decoy_pair,2,0,2,0,238,325058,140000
mdgo_v11_probe_000110,mdgo_v05_sof_user_0001,software,suggestion_rejection_pair,2,0,2,0,234,322282,140000
mdgo_v11_probe_000111,mdgo_v05_fin_user_0024,finance,triple_asof_interleaved,3,0,3,0,226,340270,140000
mdgo_v11_probe_000112,mdgo_v05_fin_user_0002,finance,surface_decoy_pair,2,0,2,0,225,339141,140000
mdgo_v11_probe_000113,mdgo_v05_sof_user_0002,software,dual_asof_reversal,2,0,2,0,237,323038,140000
mdgo_v11_probe_000114,mdgo_v05_fin_user_0015,finance,triple_asof_interleaved,3,0,3,0,222,337230,140000
mdgo_v11_probe_000115,mdgo_v05_fin_user_0024,finance,surface_decoy_pair,2,0,2,0,226,340270,140000
mdgo_v11_probe_000116,mdgo_v07_sof_user_0017,software,surface_decoy_pair,2,0,2,0,232,325699,140000
mdgo_v11_probe_000117,mdgo_v05_fin_user_0012,finance,triple_asof_interleaved,3,0,3,0,224,334218,140000
mdgo_v11_probe_000118,mdgo_v05_fin_user_0002,finance,surface_decoy_pair,2,0,2,0,225,339141,140000
mdgo_v11_probe_000119,mdgo_v05_fin_user_0011,finance,surface_decoy_pair,2,0,2,0,229,333048,140000
mdgo_v11_probe_000120,mdgo_v05_fin_user_0011,finance,reference_case_reconstruction,3,1,2,121,344,333048,140000
mdgo_v11_probe_000121,mdgo_v05_fin_user_0000,finance,triple_asof_interleaved,3,0,3,0,227,333457,140000
mdgo_v11_probe_000122,mdgo_v05_sof_user_0000,software,suggestion_rejection_pair,2,0,2,0,239,311624,140000
mdgo_v11_probe_000123,mdgo_v05_fin_user_0028,finance,triple_asof_interleaved,3,0,3,0,219,335276,140000
mdgo_v11_probe_000124,mdgo_v05_fin_user_0031,finance,suggestion_rejection_pair,2,0,2,0,224,338178,140000
mdgo_v11_probe_000125,mdgo_v07_sof_user_0016,software,reference_case_reconstruction,3,1,2,187,412,324189,140000
mdgo_v11_probe_000126,mdgo_v05_fin_user_0028,finance,triple_asof_interleaved,3,0,3,0,219,335276,140000
mdgo_v11_probe_000127,mdgo_v05_fin_user_0030,finance,suggestion_rejection_pair,2,0,2,0,220,337818,140000
mdgo_v11_probe_000128,mdgo_v05_fin_user_0012,finance,reference_case_reconstruction,3,1,2,123,344,334218,140000
mdgo_v11_probe_000129,mdgo_v05_fin_user_0014,finance,reference_case_reconstruction,3,1,2,194,412,339699,140000
mdgo_v11_probe_000130,mdgo_v05_sof_user_0001,software,suggestion_rejection_pair,2,0,2,0,234,322282,140000
mdgo_v11_probe_000131,mdgo_v05_fin_user_0034,finance,dual_asof_reversal,2,0,2,0,221,337663,140000
mdgo_v11_probe_000132,mdgo_v05_fin_user_0027,finance,triple_asof_interleaved,3,0,3,0,220,342331,140000
mdgo_v11_probe_000133,mdgo_v05_fin_user_0006,finance,scope_temporal_pair,2,0,2,0,224,336433,140000
mdgo_v11_probe_000134,mdgo_v05_sof_user_0008,software,suggestion_rejection_pair,2,0,2,0,239,318483,140000
mdgo_v11_probe_000135,mdgo_v07_sof_user_0011,software,surface_decoy_pair,2,0,2,0,238,325058,140000
mdgo_v11_probe_000136,mdgo_v05_fin_user_0020,finance,provenance_weighted_triple,3,0,3,0,232,328930,140000
mdgo_v11_probe_000137,mdgo_v05_fin_user_0019,finance,surface_decoy_pair,2,0,2,0,225,338631,140000
mdgo_v11_probe_000138,mdgo_v05_fin_user_0005,finance,dual_asof_reversal,2,0,2,0,231,328129,140000
mdgo_v11_probe_000139,mdgo_v07_sof_user_0012,software,suggestion_rejection_pair,2,0,2,0,236,321909,140000
mdgo_v11_probe_000140,mdgo_v07_sof_user_0012,software,suggestion_rejection_pair,2,0,2,0,236,321909,140000
mdgo_v11_probe_000141,mdgo_v05_fin_user_0016,finance,surface_decoy_pair,2,0,2,0,225,332320,140000
mdgo_v11_probe_000142,mdgo_v05_sof_user_0001,software,dual_asof_reversal,2,0,2,0,234,322282,140000
mdgo_v11_probe_000143,mdgo_v07_sof_user_0015,software,dual_asof_reversal,2,0,2,0,242,313659,140000
mdgo_v11_probe_000144,mdgo_v05_fin_user_0009,finance,surface_decoy_pair,2,0,2,0,216,341182,140000
mdgo_v11_probe_000145,mdgo_v05_fin_user_0028,finance,surface_decoy_pair,2,0,2,0,219,335276,140000
mdgo_v11_probe_000146,mdgo_v05_fin_user_0035,finance,reference_case_reconstruction,3,1,2,121,344,332598,140000
mdgo_v11_probe_000147,mdgo_v05_fin_user_0011,finance,reference_case_reconstruction,3,1,2,191,412,333048,140000
mdgo_v11_probe_000148,mdgo_v05_fin_user_0013,finance,surface_decoy_pair,2,0,2,0,217,345552,140000
mdgo_v11_probe_000149,mdgo_v05_sof_user_0005,software,surface_decoy_pair,2,0,2,0,239,318937,140000
mdgo_v11_probe_000150,mdgo_v05_fin_user_0020,finance,surface_decoy_pair,2,0,2,0,232,328930,140000
mdgo_v11_probe_000151,mdgo_v05_fin_user_0026,finance,surface_decoy_pair,2,0,2,0,231,330059,140000
mdgo_v11_probe_000152,mdgo_v05_fin_user_0016,finance,suggestion_rejection_pair,2,0,2,0,225,332320,140000
mdgo_v11_probe_000153,mdgo_v05_fin_user_0034,finance,surface_decoy_pair,2,0,2,0,221,337663,140000
mdgo_v11_probe_000154,mdgo_v05_sof_user_0003,software,provenance_weighted_triple,3,0,3,0,242,314399,140000
mdgo_v11_probe_000155,mdgo_v05_fin_user_0035,finance,reference_case_reconstruction,3,1,2,189,412,332598,140000
mdgo_v11_probe_000156,mdgo_v05_fin_user_0026,finance,suggestion_rejection_pair,2,0,2,0,231,330059,140000
mdgo_v11_probe_000157,mdgo_v05_fin_user_0004,finance,provenance_weighted_triple,3,0,3,0,226,332730,140000
mdgo_v11_probe_000158,mdgo_v05_fin_user_0024,finance,scope_temporal_pair,2,0,2,0,226,340270,140000
mdgo_v11_probe_000159,mdgo_v05_fin_user_0007,finance,provenance_weighted_triple,3,0,3,0,227,337224,140000
mdgo_v11_probe_000160,mdgo_v05_fin_user_0016,finance,triple_asof_interleaved,3,0,3,0,225,332320,140000
mdgo_v11_probe_000161,mdgo_v05_fin_user_0034,finance,dual_asof_reversal,2,0,2,0,221,337663,140000
mdgo_v11_probe_000162,mdgo_v05_fin_user_0032,finance,dual_asof_reversal,2,0,2,0,223,342639,140000
mdgo_v11_probe_000163,mdgo_v05_fin_user_0012,finance,surface_decoy_pair,2,0,2,0,224,334218,140000
mdgo_v11_probe_000164,mdgo_v05_sof_user_0008,software,surface_decoy_pair,2,0,2,0,239,318483,140000
mdgo_v11_probe_000165,mdgo_v05_sof_user_0004,software,surface_decoy_pair,2,0,2,0,236,322411,140000
mdgo_v11_probe_000166,mdgo_v05_fin_user_0020,finance,triple_asof_interleaved,3,0,3,0,232,328930,140000
mdgo_v11_probe_000167,mdgo_v05_fin_user_0028,finance,reference_case_reconstruction,3,1,2,190,412,335276,140000
mdgo_v11_probe_000168,mdgo_v05_sof_user_0003,software,scope_temporal_pair,2,0,2,0,242,314399,140000
mdgo_v11_probe_000169,mdgo_v05_fin_user_0026,finance,reference_case_reconstruction,3,1,2,188,413,330059,140000
mdgo_v11_probe_000170,mdgo_v05_sof_user_0008,software,surface_decoy_pair,2,0,2,0,239,318483,140000
mdgo_v11_probe_000171,mdgo_v05_sof_user_0006,software,scope_temporal_pair,2,0,2,0,233,322287,140000
mdgo_v11_probe_000172,mdgo_v05_fin_user_0018,finance,suggestion_rejection_pair,2,0,2,0,227,331045,140000
mdgo_v11_probe_000173,mdgo_v05_fin_user_0005,finance,surface_decoy_pair,2,0,2,0,231,328129,140000
mdgo_v11_probe_000174,mdgo_v05_sof_user_0006,software,surface_decoy_pair,2,0,2,0,233,322287,140000
mdgo_v11_probe_000175,mdgo_v05_fin_user_0031,finance,suggestion_rejection_pair,2,0,2,0,224,338178,140000
mdgo_v11_probe_000176,mdgo_v05_fin_user_0035,finance,surface_decoy_pair,2,0,2,0,230,332598,140000
mdgo_v11_probe_000177,mdgo_v05_fin_user_0006,finance,reference_case_reconstruction,3,1,2,197,412,336433,140000
mdgo_v11_probe_000178,mdgo_v05_fin_user_0004,finance,reference_case_reconstruction,3,1,2,121,344,332730,140000
mdgo_v11_probe_000179,mdgo_v07_sof_user_0009,software,surface_decoy_pair,2,0,2,0,235,322372,140000
mdgo_v11_probe_000180,mdgo_v05_fin_user_0010,finance,dual_asof_reversal,2,0,2,0,230,335012,140000
mdgo_v11_probe_000181,mdgo_v05_sof_user_0005,software,triple_asof_interleaved,3,0,3,0,239,318937,140000
mdgo_v11_probe_000182,mdgo_v05_fin_user_0014,finance,dual_asof_reversal,2,0,2,0,223,339699,140000
mdgo_v11_probe_000183,mdgo_v05_sof_user_0005,software,reference_case_reconstruction,3,1,2,184,413,318937,140000
mdgo_v11_probe_000184,mdgo_v07_sof_user_0017,software,surface_decoy_pair,2,0,2,0,232,325699,140000
mdgo_v11_probe_000185,mdgo_v05_fin_user_0032,finance,reference_case_reconstruction,3,1,2,200,413,342639,140000
mdgo_v11_probe_000186,mdgo_v05_fin_user_0033,finance,suggestion_rejection_pair,2,0,2,0,230,330817,140000
mdgo_v11_probe_000187,mdgo_v05_fin_user_0018,finance,dual_asof_reversal,2,0,2,0,227,331045,140000
mdgo_v11_probe_000188,mdgo_v07_sof_user_0012,software,reference_case_reconstruction,3,1,2,115,344,321909,140000
mdgo_v11_probe_000189,mdgo_v07_sof_user_0013,software,dual_asof_reversal,2,0,2,0,245,316556,140000
mdgo_v11_probe_000190,mdgo_v05_fin_user_0024,finance,reference_case_reconstruction,3,1,2,122,344,340270,140000
mdgo_v11_probe_000191,mdgo_v07_sof_user_0015,software,reference_case_reconstruction,3,1,2,182,412,313659,140000
mdgo_v11_probe_000192,mdgo_v05_fin_user_0032,finance,reference_case_reconstruction,3,1,2,131,344,342639,140000
mdgo_v11_probe_000193,mdgo_v07_sof_user_0017,software,dual_asof_reversal,2,0,2,0,232,325699,140000
mdgo_v11_probe_000194,mdgo_v07_sof_user_0015,software,dual_asof_reversal,2,0,2,0,242,313659,140000
mdgo_v11_probe_000195,mdgo_v05_sof_user_0001,software,reference_case_reconstruction,3,1,2,183,412,322282,140000
mdgo_v11_probe_000196,mdgo_v05_fin_user_0027,finance,surface_decoy_pair,2,0,2,0,220,342331,140000
mdgo_v11_probe_000197,mdgo_v07_sof_user_0012,software,surface_decoy_pair,2,0,2,0,236,321909,140000
mdgo_v11_probe_000198,mdgo_v05_fin_user_0001,finance,suggestion_rejection_pair,2,0,2,0,226,338269,140000
mdgo_v11_probe_000199,mdgo_v05_fin_user_0014,finance,triple_asof_interleaved,3,0,3,0,223,339699,140000
mdgo_v11_probe_000200,mdgo_v05_sof_user_0001,software,suggestion_rejection_pair,2,0,2,0,234,322282,140000
mdgo_v11_probe_000201,mdgo_v05_fin_user_0011,finance,dual_asof_reversal,2,0,2,0,229,333048,140000
mdgo_v11_probe_000202,mdgo_v05_fin_user_0001,finance,surface_decoy_pair,2,0,2,0,226,338269,140000
mdgo_v11_probe_000203,mdgo_v05_fin_user_0029,finance,surface_decoy_pair,2,0,2,0,227,332408,140000
mdgo_v11_probe_000204,mdgo_v05_fin_user_0035,finance,scope_temporal_pair,2,0,2,0,230,332598,140000
mdgo_v11_probe_000205,mdgo_v05_fin_user_0009,finance,surface_decoy_pair,2,0,2,0,216,341182,140000
mdgo_v11_probe_000206,mdgo_v05_sof_user_0006,software,reference_case_reconstruction,3,1,2,117,345,322287,140000
mdgo_v11_probe_000207,mdgo_v05_fin_user_0029,finance,dual_asof_reversal,2,0,2,0,227,332408,140000
mdgo_v11_probe_000208,mdgo_v07_sof_user_0009,software,surface_decoy_pair,2,0,2,0,235,322372,140000
mdgo_v11_probe_000209,mdgo_v07_sof_user_0011,software,scope_temporal_pair,2,0,2,0,238,325058,140000
mdgo_v11_probe_000210,mdgo_v05_fin_user_0026,finance,reference_case_reconstruction,3,1,2,122,345,330059,140000
mdgo_v11_probe_000211,mdgo_v05_fin_user_0028,finance,suggestion_rejection_pair,2,0,2,0,219,335276,140000
mdgo_v11_probe_000212,mdgo_v05_fin_user_0018,finance,surface_decoy_pair,2,0,2,0,227,331045,140000
mdgo_v11_probe_000213,mdgo_v05_fin_user_0007,finance,triple_asof_interleaved,3,0,3,0,227,337224,140000
mdgo_v11_probe_000214,mdgo_v05_fin_user_0022,finance,surface_decoy_pair,2,0,2,0,219,343225,140000
mdgo_v11_probe_000215,mdgo_v05_fin_user_0012,finance,provenance_weighted_triple,3,0,3,0,224,334218,140000
mdgo_v11_probe_000216,mdgo_v05_fin_user_0005,finance,reference_case_reconstruction,3,1,2,120,344,328129,140000
mdgo_v11_probe_000217,mdgo_v05_fin_user_0015,finance,triple_asof_interleaved,3,0,3,0,222,337230,140000
mdgo_v11_probe_000218,mdgo_v05_fin_user_0029,finance,suggestion_rejection_pair,2,0,2,0,227,332408,140000
mdgo_v11_probe_000219,mdgo_v05_fin_user_0012,finance,surface_decoy_pair,2,0,2,0,224,334218,140000
mdgo_v11_probe_000220,mdgo_v05_sof_user_0006,software,dual_asof_reversal,2,0,2,0,233,322287,140000
mdgo_v11_probe_000221,mdgo_v05_fin_user_0023,finance,surface_decoy_pair,2,0,2,0,228,336961,140000
mdgo_v11_probe_000222,mdgo_v05_fin_user_0023,finance,reference_case_reconstruction,3,1,2,122,344,336961,140000
mdgo_v11_probe_000223,mdgo_v07_sof_user_0015,software,dual_asof_reversal,2,0,2,0,242,313659,140000
mdgo_v11_probe_000224,mdgo_v05_fin_user_0016,finance,triple_asof_interleaved,3,0,3,0,225,332320,140000
mdgo_v11_probe_000225,mdgo_v05_fin_user_0027,finance,surface_decoy_pair,2,0,2,0,220,342331,140000
mdgo_v11_probe_000226,mdgo_v05_fin_user_0007,finance,scope_temporal_pair,2,0,2,0,227,337224,140000
mdgo_v11_probe_000227,mdgo_v05_fin_user_0008,finance,reference_case_reconstruction,3,1,2,195,412,338243,140000
mdgo_v11_probe_000228,mdgo_v05_fin_user_0023,finance,triple_asof_interleaved,3,0,3,0,228,336961,140000
mdgo_v11_probe_000229,mdgo_v05_fin_user_0007,finance,surface_decoy_pair,2,0,2,0,227,337224,140000
mdgo_v11_probe_000230,mdgo_v05_sof_user_0008,software,suggestion_rejection_pair,2,0,2,0,239,318483,140000
mdgo_v11_probe_000231,mdgo_v05_fin_user_0023,finance,triple_asof_interleaved,3,0,3,0,228,336961,140000
mdgo_v11_probe_000232,mdgo_v05_fin_user_0014,finance,triple_asof_interleaved,3,0,3,0,223,339699,140000
