session_id,user_id,domain,primary_source_conversation_id,source_intent,all_source_conversation_ids_json,style_exemplar_ids_json,usage_mode
mdgo_v05_fin_user_0000_s0011,mdgo_v05_fin_user_0000,finance,acs-87f56e39-bca2-46bb-b8eb-6074da9165d6-1,dispute_charge,"[""acs-ac4bf485-c721-4222-bf9c-9dc4ca2285a6-1"", ""acs-b9b56dbd-7ecc-4f4c-b936-9a131cfe447c-1""]","[""acs-ac4bf485-c721-4222-bf9c-9dc4ca2285a6-1"", ""acs-b9b56dbd-7ecc-4f4c-b936-9a131cfe447c-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0012,mdgo_v05_fin_user_0000,finance,acs-92e8bb93-d872-4e97-8adb-94a41e8675a8-1,lost_card,"[""acs-532e32d8-9f2d-427e-85eb-df2bc16e44ca-1"", ""acs-5a933408-437f-47c3-9faa-e65fe4bc9c49-1"", ""acs-300965c1-1f82-4353-a7d3-8b42c1380740-1""]","[""acs-532e32d8-9f2d-427e-85eb-df2bc16e44ca-1"", ""acs-5a933408-437f-47c3-9faa-e65fe4bc9c49-1"", ""acs-300965c1-1f82-4353-a7d3-8b42c1380740-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0013,mdgo_v05_fin_user_0000,finance,acs-8f52eecc-c696-494f-b4ea-8165eb512029-1,lost_card,"[""acs-8c2ccec5-0899-4d91-8116-7cac34634bfc-1"", ""acs-f2b927ae-235e-4979-af4a-c4563546f0f2-1"", ""acs-d134ab97-50ad-44a1-9acb-3f0818716021-1""]","[""acs-8c2ccec5-0899-4d91-8116-7cac34634bfc-1"", ""acs-f2b927ae-235e-4979-af4a-c4563546f0f2-1"", ""acs-d134ab97-50ad-44a1-9acb-3f0818716021-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0014,mdgo_v05_fin_user_0000,finance,acs-bba129de-dba2-4714-b817-8d61ddd0c922-1,address_change,"[""acs-1b875933-1488-454e-adc6-3f3fe78586ba-1"", ""acs-a5de3fa4-bc0e-4d9b-8a1a-22184642a49b-1"", ""acs-6bcbe757-4546-4936-8041-a9674194a16a-1""]","[""acs-1b875933-1488-454e-adc6-3f3fe78586ba-1"", ""acs-a5de3fa4-bc0e-4d9b-8a1a-22184642a49b-1"", ""acs-6bcbe757-4546-4936-8041-a9674194a16a-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0015,mdgo_v05_fin_user_0000,finance,acs-1dba1a9e-301c-43e6-a151-6cdc40a84a21-1,balance,"[""acs-372b9683-6ec4-478f-aa66-f113afa8970d-1"", ""acs-c10773be-9f7b-42e0-9b67-6f9776dc4285-1"", ""acs-abc605df-096f-43b3-b0c2-1d7499934dd9-1""]","[""acs-372b9683-6ec4-478f-aa66-f113afa8970d-1"", ""acs-c10773be-9f7b-42e0-9b67-6f9776dc4285-1"", ""acs-abc605df-096f-43b3-b0c2-1d7499934dd9-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0017,mdgo_v05_fin_user_0000,finance,acs-9ec6dea8-2371-4e7e-aebf-7050d6f783dd-1,dispute_charge,"[""acs-f2608c0c-f3c6-4904-868f-ac412d0d7785-1"", ""acs-1338727d-d436-4fe5-8614-1d310234e9d8-1""]","[""acs-f2608c0c-f3c6-4904-868f-ac412d0d7785-1"", ""acs-1338727d-d436-4fe5-8614-1d310234e9d8-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0018,mdgo_v05_fin_user_0000,finance,acs-f520c0ad-5498-4999-acb5-f835e5594a0a-1,address_change,"[""acs-05a2f6a6-3f7f-4259-98dc-28a711270254-1""]","[""acs-05a2f6a6-3f7f-4259-98dc-28a711270254-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0020,mdgo_v05_fin_user_0000,finance,acs-467deb76-e8a1-49b3-a925-6561c3118dac-1,balance,"[""acs-29fb8aff-2249-4c1c-93f2-ccd48267a690-1"", ""acs-a0f3d822-0de0-419e-97cc-fcbdf68e8995-1"", ""acs-23081db4-de54-492b-a0b4-8fc0e96af51a-1""]","[""acs-29fb8aff-2249-4c1c-93f2-ccd48267a690-1"", ""acs-a0f3d822-0de0-419e-97cc-fcbdf68e8995-1"", ""acs-23081db4-de54-492b-a0b4-8fc0e96af51a-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0021,mdgo_v05_fin_user_0000,finance,acs-5e251973-f08c-40fd-9787-2a16f5064baa-1,address_change,"[""acs-abdac851-999f-43da-a30f-0d33cc192b87-1"", ""acs-30166e48-bbd8-4779-84a0-354a2996ddfa-1"", ""acs-d84a8ffb-1f9d-4f06-94ec-682d1134e3a8-1""]","[""acs-abdac851-999f-43da-a30f-0d33cc192b87-1"", ""acs-30166e48-bbd8-4779-84a0-354a2996ddfa-1"", ""acs-d84a8ffb-1f9d-4f06-94ec-682d1134e3a8-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0024,mdgo_v05_fin_user_0000,finance,acs-bcdca67b-50ad-41f3-bccb-02479699e48e-1,address_change,"[""acs-87f56e39-bca2-46bb-b8eb-6074da9165d6-1"", ""acs-84b6391c-7ea9-457e-9ffc-8c781b2d2355-1""]","[""acs-87f56e39-bca2-46bb-b8eb-6074da9165d6-1"", ""acs-84b6391c-7ea9-457e-9ffc-8c781b2d2355-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0025,mdgo_v05_fin_user_0000,finance,acs-32797756-5f63-4089-b427-d8f1ffcdd8f4-1,lost_card,"[""acs-c1d74575-9047-4e73-a8dc-6f66724010e6-1"", ""acs-7962d9eb-fb2c-4feb-8e30-cd67ab9d968a-1"", ""acs-cc9e2ee4-4854-45f4-98f3-e76e10e2a36c-1""]","[""acs-c1d74575-9047-4e73-a8dc-6f66724010e6-1"", ""acs-7962d9eb-fb2c-4feb-8e30-cd67ab9d968a-1"", ""acs-cc9e2ee4-4854-45f4-98f3-e76e10e2a36c-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0026,mdgo_v05_fin_user_0000,finance,acs-868f51b4-1527-4ccb-8092-c03758521230-1,checks_routing,"[""acs-83e17b74-a6d5-481c-acbe-de58ebd2103a-1"", ""acs-d7ff7df2-7450-437e-b5de-ead34c6f9f26-1""]","[""acs-83e17b74-a6d5-481c-acbe-de58ebd2103a-1"", ""acs-d7ff7df2-7450-437e-b5de-ead34c6f9f26-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0027,mdgo_v05_fin_user_0000,finance,acs-46923e76-b6ec-4bb7-8ca3-550a829f000e-1,payment,"[""acs-0bf9b69d-399f-4d58-b812-a8bf4b77aeaa-1"", ""acs-b73f2235-b098-4de3-95ad-70c34c5908e9-1"", ""acs-dc5c77d2-f892-42c3-b8eb-2da1c23fc669-1""]","[""acs-0bf9b69d-399f-4d58-b812-a8bf4b77aeaa-1"", ""acs-b73f2235-b098-4de3-95ad-70c34c5908e9-1"", ""acs-dc5c77d2-f892-42c3-b8eb-2da1c23fc669-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0029,mdgo_v05_fin_user_0000,finance,acs-0ffc420e-2477-4b1f-ae39-b372ac316819-1,address_change,"[""acs-eec50416-6256-4952-9bda-8927769d77f5-1"", ""acs-6753cb9f-ccd5-4523-8cf3-4040ae8af572-1""]","[""acs-eec50416-6256-4952-9bda-8927769d77f5-1"", ""acs-6753cb9f-ccd5-4523-8cf3-4040ae8af572-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0030,mdgo_v05_fin_user_0000,finance,acs-275dadc0-171d-4c00-be59-3874a578c62b-1,balance,"[""acs-654a6a31-3090-4e4e-a8a7-98eb95e18036-1"", ""acs-46bdea0e-2ca1-4151-a9ba-d86703709388-1"", ""acs-21cff288-201a-4b19-a0a0-cc8957ece776-1""]","[""acs-654a6a31-3090-4e4e-a8a7-98eb95e18036-1"", ""acs-46bdea0e-2ca1-4151-a9ba-d86703709388-1"", ""acs-21cff288-201a-4b19-a0a0-cc8957ece776-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0031,mdgo_v05_fin_user_0000,finance,acs-5e5a86c5-e42a-47ae-9f7c-95fefb292f0c-1,address_change,"[""acs-129208b4-1f4c-438c-92e5-d07273690075-1"", ""acs-07b78ebc-d384-419b-ad9d-ff4cabeb08e3-1"", ""acs-28fc4f2c-f7b3-408a-84fb-0e1a17b0b6d2-1""]","[""acs-129208b4-1f4c-438c-92e5-d07273690075-1"", ""acs-07b78ebc-d384-419b-ad9d-ff4cabeb08e3-1"", ""acs-28fc4f2c-f7b3-408a-84fb-0e1a17b0b6d2-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0032,mdgo_v05_fin_user_0000,finance,acs-f2e270ad-7b63-4550-b5b5-e4bcb0b6dd6b-1,card_issue,"[""acs-792d34d7-c15d-4f8f-82f7-ede4e5481642-1"", ""acs-b432c1ee-c523-47d3-a44b-2b9d0ed7e802-1""]","[""acs-792d34d7-c15d-4f8f-82f7-ede4e5481642-1"", ""acs-b432c1ee-c523-47d3-a44b-2b9d0ed7e802-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0033,mdgo_v05_fin_user_0000,finance,acs-2d8d40f6-5757-4c04-b13b-4a82f1c699b4-1,lost_card,"[""acs-1a44347e-4aa5-49cc-b7bb-ed868452a4cb-1"", ""acs-c34dfa4f-7cdd-46e9-95f4-210d1f9a2cb3-1"", ""acs-d028e0db-811c-44de-a217-096ef2c26284-1""]","[""acs-1a44347e-4aa5-49cc-b7bb-ed868452a4cb-1"", ""acs-c34dfa4f-7cdd-46e9-95f4-210d1f9a2cb3-1"", ""acs-d028e0db-811c-44de-a217-096ef2c26284-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0034,mdgo_v05_fin_user_0000,finance,acs-85586138-e95a-4657-b0c3-2a21e2bc6060-1,address_change,"[""acs-528eba57-3b6f-4652-ab30-e71dfa597823-1"", ""acs-9df01eb5-158b-4830-ba49-a4300954f211-1""]","[""acs-528eba57-3b6f-4652-ab30-e71dfa597823-1"", ""acs-9df01eb5-158b-4830-ba49-a4300954f211-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0035,mdgo_v05_fin_user_0000,finance,acs-4875380a-aec1-4f7a-b561-201688bf83f0-1,transfer,"[""acs-f0a4a26a-2f54-457e-bdba-2ef5d9c9d81b-1"", ""acs-906abdac-c71c-49a3-bad5-d69cbfbe88f3-1"", ""acs-8e307bec-48ca-4543-b289-4ddae31571ea-1""]","[""acs-f0a4a26a-2f54-457e-bdba-2ef5d9c9d81b-1"", ""acs-906abdac-c71c-49a3-bad5-d69cbfbe88f3-1"", ""acs-8e307bec-48ca-4543-b289-4ddae31571ea-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0036,mdgo_v05_fin_user_0000,finance,acs-a0710b58-1bfa-4904-868c-477656e2db08-1,checks_routing,"[""acs-73f237a4-1dd3-4fbc-93ee-b95cd5786354-1"", ""acs-14e7da89-ad44-4d4a-8f2c-d5a4a99f5aaf-1"", ""acs-fa5f2014-6158-4298-bd69-a37d8582f1c5-1""]","[""acs-73f237a4-1dd3-4fbc-93ee-b95cd5786354-1"", ""acs-14e7da89-ad44-4d4a-8f2c-d5a4a99f5aaf-1"", ""acs-fa5f2014-6158-4298-bd69-a37d8582f1c5-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0037,mdgo_v05_fin_user_0000,finance,acs-7435c8a5-a43e-478a-9ea8-94ee67d0fde1-1,lost_card,"[""acs-0687c0a6-ac36-4775-ae41-b9dbe76eb5da-1"", ""acs-677dbd4e-5932-410a-9a03-f1ef332fb796-1"", ""acs-92a310ba-39c3-41e0-9674-705aa92154b3-1""]","[""acs-0687c0a6-ac36-4775-ae41-b9dbe76eb5da-1"", ""acs-677dbd4e-5932-410a-9a03-f1ef332fb796-1"", ""acs-92a310ba-39c3-41e0-9674-705aa92154b3-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0038,mdgo_v05_fin_user_0000,finance,acs-dc4d2555-5d1f-42e9-9f40-dfc7cae3ecc9-1,card_issue,"[""acs-6bfd805a-f26a-4fa2-8d46-f6cc099ca334-1"", ""acs-bbdf0b47-b1de-4c0c-8a99-13729388ae5e-1"", ""acs-d360880f-d077-4176-a3be-11304c8c8b53-1""]","[""acs-6bfd805a-f26a-4fa2-8d46-f6cc099ca334-1"", ""acs-bbdf0b47-b1de-4c0c-8a99-13729388ae5e-1"", ""acs-d360880f-d077-4176-a3be-11304c8c8b53-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0039,mdgo_v05_fin_user_0000,finance,acs-076d25ad-39f1-4717-b388-24254f0e895b-1,lost_card,"[""acs-9d6963b8-0bea-4eec-a62f-80d9a896cc02-1"", ""acs-81007433-a308-4afb-b10a-e26ad9dfceb2-1"", ""acs-4023cdef-e91d-4636-a5b5-f56f34e9ddb1-1""]","[""acs-9d6963b8-0bea-4eec-a62f-80d9a896cc02-1"", ""acs-81007433-a308-4afb-b10a-e26ad9dfceb2-1"", ""acs-4023cdef-e91d-4636-a5b5-f56f34e9ddb1-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0040,mdgo_v05_fin_user_0000,finance,acs-184f4dd7-2dbc-48b9-b6d2-7af31c630a4b-1,transfer,"[""acs-9420a1f1-9733-48a2-88f7-5f5614d7c549-1"", ""acs-afbaad69-fa4b-410e-936e-1298226aeb62-1""]","[""acs-9420a1f1-9733-48a2-88f7-5f5614d7c549-1"", ""acs-afbaad69-fa4b-410e-936e-1298226aeb62-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0041,mdgo_v05_fin_user_0000,finance,acs-88671ba9-3402-42c5-ab76-e06071bae449-1,lost_card,"[""acs-2eb1b350-8e79-4562-ac1a-5ee9ed10e4bd-1"", ""acs-075e154c-a258-47e1-9f5b-0830ff626c32-1""]","[""acs-2eb1b350-8e79-4562-ac1a-5ee9ed10e4bd-1"", ""acs-075e154c-a258-47e1-9f5b-0830ff626c32-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0042,mdgo_v05_fin_user_0000,finance,acs-419c3c59-9134-4f29-8269-e1e636c52fb3-1,address_change,"[""acs-ed408862-9fe3-466a-8c10-cd6d56bff94e-1"", ""acs-4d117fe8-5310-4a09-b42d-dbd40ef99a74-1""]","[""acs-ed408862-9fe3-466a-8c10-cd6d56bff94e-1"", ""acs-4d117fe8-5310-4a09-b42d-dbd40ef99a74-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0043,mdgo_v05_fin_user_0000,finance,acs-f26c1522-bafd-4aeb-9146-47073b8a0191-1,lost_card,"[""acs-7b32d570-f618-44ba-8676-27b36c5ee1a7-1"", ""acs-ad8386d4-9170-4eb1-b0e4-692bddec7c85-1""]","[""acs-7b32d570-f618-44ba-8676-27b36c5ee1a7-1"", ""acs-ad8386d4-9170-4eb1-b0e4-692bddec7c85-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0044,mdgo_v05_fin_user_0000,finance,acs-33e226b3-6f91-4a0f-9f95-be054d5545f6-1,address_change,"[""acs-914eb794-3822-4d8c-86dd-8e2ace2950f8-1"", ""acs-135d4c99-bcf9-4766-9485-d406cc09be40-1"", ""acs-39c3817f-405e-466b-9d80-4ea9c8d69547-1""]","[""acs-914eb794-3822-4d8c-86dd-8e2ace2950f8-1"", ""acs-135d4c99-bcf9-4766-9485-d406cc09be40-1"", ""acs-39c3817f-405e-466b-9d80-4ea9c8d69547-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0045,mdgo_v05_fin_user_0000,finance,acs-7f264256-3d61-4a6a-a425-bb2581e3492f-1,address_change,"[""acs-085d557b-2f1f-4cdc-9b6a-ac08b61bc909-1"", ""acs-12a1c07b-08d8-44d1-bf24-e442e583c5d2-1""]","[""acs-085d557b-2f1f-4cdc-9b6a-ac08b61bc909-1"", ""acs-12a1c07b-08d8-44d1-bf24-e442e583c5d2-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0046,mdgo_v05_fin_user_0000,finance,acs-5926a9c5-7214-493f-bca0-2d5fdfdb84ec-1,balance,"[""acs-2f2f6da6-1799-4bfe-b2bc-f11f7cd03b79-1""]","[""acs-2f2f6da6-1799-4bfe-b2bc-f11f7cd03b79-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0047,mdgo_v05_fin_user_0000,finance,acs-9ddb83f1-1d35-4421-a394-23f9d8e0fc56-1,address_change,"[""acs-398a1b5c-b916-4a31-914b-e334d5cfbd89-1"", ""acs-81ede6ad-0672-4ecf-8ab5-2c5659c9f7fc-1"", ""acs-d7867f73-c34f-4aa7-a34f-11ad30c2c07e-1""]","[""acs-398a1b5c-b916-4a31-914b-e334d5cfbd89-1"", ""acs-81ede6ad-0672-4ecf-8ab5-2c5659c9f7fc-1"", ""acs-d7867f73-c34f-4aa7-a34f-11ad30c2c07e-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0048,mdgo_v05_fin_user_0000,finance,acs-7fe9cf6e-c406-4271-a400-b8b13f202ddf-1,payment,"[""acs-cb5eb672-a098-46cb-b9fd-a9f9ed173d05-1"", ""acs-f89b3308-490e-4818-aa8d-4205fdbed530-1"", ""acs-6d5cf920-369c-4804-ab30-d26e1b7b0f82-1""]","[""acs-cb5eb672-a098-46cb-b9fd-a9f9ed173d05-1"", ""acs-f89b3308-490e-4818-aa8d-4205fdbed530-1"", ""acs-6d5cf920-369c-4804-ab30-d26e1b7b0f82-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0049,mdgo_v05_fin_user_0000,finance,acs-cec56439-5315-4734-abba-9046e48f6bd1-1,transfer,"[""acs-b5707a1e-2764-4e69-816c-1d3b389d0e77-1"", ""acs-83b57096-7bc3-4dd6-bf77-808d6fd04559-1"", ""acs-01deef00-1806-4c38-9c78-85b7a293941c-1""]","[""acs-b5707a1e-2764-4e69-816c-1d3b389d0e77-1"", ""acs-83b57096-7bc3-4dd6-bf77-808d6fd04559-1"", ""acs-01deef00-1806-4c38-9c78-85b7a293941c-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0050,mdgo_v05_fin_user_0000,finance,acs-74936ab6-e4cf-4bc9-bb0b-7591d09f08cd-1,balance,"[""acs-b53e3492-b83b-43cd-8bc0-80f832cf194a-1"", ""acs-b19ae28c-5cc9-469d-afa8-6fd65084c0c2-1"", ""acs-0e03fa51-d659-4e81-8a43-d6cb52c205f0-1""]","[""acs-b53e3492-b83b-43cd-8bc0-80f832cf194a-1"", ""acs-b19ae28c-5cc9-469d-afa8-6fd65084c0c2-1"", ""acs-0e03fa51-d659-4e81-8a43-d6cb52c205f0-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0052,mdgo_v05_fin_user_0000,finance,acs-97d9ca4d-bc90-4e86-8d65-52cd53409131-1,checks_routing,"[""acs-ec594546-9d17-46e1-862c-2b4b6f176a8f-1"", ""acs-137cdb41-45ba-4c5e-b659-2bc3a4995ed5-1""]","[""acs-ec594546-9d17-46e1-862c-2b4b6f176a8f-1"", ""acs-137cdb41-45ba-4c5e-b659-2bc3a4995ed5-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0053,mdgo_v05_fin_user_0000,finance,acs-6816090b-f4fc-41fd-9b8b-e559cd3a2cc1-1,lost_card,"[""acs-e32a28d1-c9ab-4e26-9366-17e4b7c297f4-1"", ""acs-8ee3fb6e-6e16-42a5-9111-d213e27673af-1"", ""acs-63ba0c5a-9a8a-4570-9951-02f40493d07a-1""]","[""acs-e32a28d1-c9ab-4e26-9366-17e4b7c297f4-1"", ""acs-8ee3fb6e-6e16-42a5-9111-d213e27673af-1"", ""acs-63ba0c5a-9a8a-4570-9951-02f40493d07a-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0055,mdgo_v05_fin_user_0000,finance,acs-007f3a75-f6e8-4e17-a03d-c311fc770aa7-1,transfer,"[""acs-5b772b85-06ef-41cc-8923-19e1faef04e7-1""]","[""acs-5b772b85-06ef-41cc-8923-19e1faef04e7-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
mdgo_v05_fin_user_0000_s0056,mdgo_v05_fin_user_0000,finance,acs-c3d19f2f-7d1b-452d-a7a2-b7afba2712e1-1,address_change,"[""acs-24d04522-fbaa-49ff-bcac-ac55d5b51123-1"", ""acs-ed408862-9fe3-466a-8c10-cd6d56bff94e-1""]","[""acs-24d04522-fbaa-49ff-bcac-ac55d5b51123-1"", ""acs-ed408862-9fe3-466a-8c10-cd6d56bff94e-1""]","single-intent MultiDoGO seed plus compositional, intent-aligned realization"
