task_id	method	dataset_name	dataset_dir	method_output_root	shard_index	shard_count
10	full_history	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/full_history	4	6
11	full_history	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/full_history	5	6
12	mem0	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/mem0	0	6
13	mem0	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/mem0	1	6
14	mem0	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/mem0	2	6
15	mem0	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/mem0	3	6
16	mem0	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/mem0	4	6
17	mem0	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/mem0	5	6
18	amem	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/amem	0	6
19	amem	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/amem	1	6
20	amem	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/amem	2	6
21	amem	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/amem	3	6
22	amem	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/amem	4	6
23	amem	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/amem	5	6
24	graphiti	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/graphiti	0	6
25	graphiti	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/graphiti	1	6
26	graphiti	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/graphiti	2	6
27	graphiti	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/graphiti	3	6
28	graphiti	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/graphiti	4	6
29	graphiti	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/graphiti	5	6
30	secom	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/secom	0	6
31	secom	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/secom	1	6
32	secom	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/secom	2	6
33	secom	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/secom	3	6
34	secom	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/secom	4	6
35	secom	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/secom	5	6
36	omem	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/omem	0	6
37	omem	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/omem	1	6
38	omem	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/omem	2	6
39	omem	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/omem	3	6
40	omem	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/omem	4	6
41	omem	taskmaster_v04	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4	/home/xqwang/project/habit-bench/runs_wxq/taskmaster_planning_defaults_v0_4/evaluation_results/unified_all_methods_20260724/taskmaster_v04/omem	5	6
