probe_id,probe_type,required_component_groups,best_resolved_groups_in_any_205_session_window,best_window_start,best_window_end,all_required_components_in_one_205_session_window,unresolved_groups_in_best_window,naive_exact_upper_bound_from_missing_binary_links
mdgo_v11_probe_000053,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000054,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000055,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000056,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000057,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000058,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000059,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000060,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000061,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000062,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000063,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000064,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000065,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000066,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000067,provenance_weighted_triple,3,0,0,204,0,3,0.125
mdgo_v11_probe_000068,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000069,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000070,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000071,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000072,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000073,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000074,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000075,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000076,provenance_weighted_triple,3,0,0,204,0,3,0.125
mdgo_v11_probe_000077,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000078,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000079,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000080,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000081,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000082,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000083,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000084,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000085,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000086,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000087,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000088,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000089,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000090,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000091,provenance_weighted_triple,3,0,0,204,0,3,0.125
mdgo_v11_probe_000092,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000093,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000094,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000095,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000096,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000097,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000098,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000099,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000100,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000101,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000102,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000103,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000104,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000105,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000106,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000107,scope_temporal_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000108,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000109,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000110,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000111,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000112,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000113,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000114,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000115,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000116,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000117,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000118,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000119,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000120,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000121,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000122,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000123,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000124,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000125,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000126,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000127,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000128,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000129,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000130,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000131,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000132,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000133,scope_temporal_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000134,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000135,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000136,provenance_weighted_triple,3,0,0,204,0,3,0.125
mdgo_v11_probe_000137,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000138,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000139,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000140,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000141,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000142,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000143,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000144,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000145,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000146,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000147,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000148,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000149,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000150,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000151,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000152,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000153,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000154,provenance_weighted_triple,3,0,0,204,0,3,0.125
mdgo_v11_probe_000155,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000156,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000157,provenance_weighted_triple,3,0,0,204,0,3,0.125
mdgo_v11_probe_000158,scope_temporal_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000159,provenance_weighted_triple,3,0,0,204,0,3,0.125
mdgo_v11_probe_000160,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000161,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000162,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000163,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000164,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000165,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000166,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000167,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000168,scope_temporal_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000169,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000170,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000171,scope_temporal_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000172,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000173,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000174,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000175,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000176,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000177,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000178,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000179,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000180,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000181,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000182,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000183,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000184,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000185,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000186,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000187,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000188,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000189,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000190,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000191,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000192,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000193,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000194,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000195,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000196,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000197,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000198,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000199,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000200,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000201,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000202,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000203,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000204,scope_temporal_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000205,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000206,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000207,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000208,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000209,scope_temporal_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000210,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000211,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000212,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000213,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000214,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000215,provenance_weighted_triple,3,0,0,204,0,3,0.125
mdgo_v11_probe_000216,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000217,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000218,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000219,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000220,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000221,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000222,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000223,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000224,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000225,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000226,scope_temporal_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000227,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000228,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000229,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000230,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000231,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000232,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000233,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000234,provenance_weighted_triple,3,0,0,204,0,3,0.125
mdgo_v11_probe_000235,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000236,scope_temporal_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000237,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000238,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000239,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000240,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000241,scope_temporal_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000242,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000243,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000244,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000245,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000246,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000247,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000248,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000249,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000250,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000251,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000252,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000253,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000254,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000255,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000256,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000257,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000258,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000259,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000260,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000261,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000262,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000263,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000264,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000265,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000266,provenance_weighted_triple,3,0,0,204,0,3,0.125
mdgo_v11_probe_000267,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000268,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000269,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000270,provenance_weighted_triple,3,0,0,204,0,3,0.125
mdgo_v11_probe_000271,provenance_weighted_triple,3,0,0,204,0,3,0.125
mdgo_v11_probe_000272,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000273,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000274,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000275,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000276,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000277,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000278,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000279,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000280,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000281,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000282,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000283,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000284,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000285,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000286,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000287,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000288,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000289,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000290,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000291,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000292,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000293,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000294,provenance_weighted_triple,3,0,0,204,0,3,0.125
mdgo_v11_probe_000295,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000296,provenance_weighted_triple,3,0,0,204,0,3,0.125
mdgo_v11_probe_000297,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000298,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000299,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000300,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000301,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000302,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000303,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000304,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000305,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000306,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000307,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000308,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000309,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000310,provenance_weighted_triple,3,0,0,204,0,3,0.125
mdgo_v11_probe_000311,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000312,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000313,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000314,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000315,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000316,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000317,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000318,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000319,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000320,dual_asof_reversal,2,0,0,204,0,2,0.25
mdgo_v11_probe_000321,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000322,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000323,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000324,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000325,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000326,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000327,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000328,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000329,triple_asof_interleaved,3,0,0,204,0,3,0.125
mdgo_v11_probe_000330,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000331,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000332,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000333,reference_case_reconstruction,3,1,208,412,0,2,0.25
mdgo_v11_probe_000334,reference_case_reconstruction,3,1,140,344,0,2,0.25
mdgo_v11_probe_000335,suggestion_rejection_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000336,scope_temporal_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000337,surface_decoy_pair,2,0,0,204,0,2,0.25
mdgo_v11_probe_000338,triple_asof_interleaved,3,0,0,204,0,3,0.125
