group_field,group,n,accuracy,avg_retrieved_tokens_est,avg_stored_items_est,baseline,elapsed_sec
probe_type,boundary,72,0.4306,104.32,11.78,zep_like_temporal_graph,0.352
probe_type,direct_use,72,0.6389,104.29,12.08,zep_like_temporal_graph,0.352
probe_type,drift,16,0.0,105.12,11.25,zep_like_temporal_graph,0.352
probe_type,exception,72,0.125,105.21,12.56,zep_like_temporal_graph,0.352
probe_type,explicit_retrieval,36,0.9444,102.69,12.08,zep_like_temporal_graph,0.352
probe_type,privacy,18,0.0,102.72,8.67,zep_like_temporal_graph,0.352
capability_group,counterevidence_exception,72,0.125,105.21,12.56,zep_like_temporal_graph,0.352
capability_group,explicit_fact_preference_retrieval,36,0.9444,102.69,12.08,zep_like_temporal_graph,0.352
capability_group,false_personalization_privacy,18,0.0,102.72,8.67,zep_like_temporal_graph,0.352
capability_group,habit_boundary_false_personalization,72,0.4306,104.32,11.78,zep_like_temporal_graph,0.352
capability_group,habit_direct_use,72,0.6389,104.29,12.08,zep_like_temporal_graph,0.352
capability_group,habit_drift,16,0.0,105.12,11.25,zep_like_temporal_graph,0.352
habit_family,coding_review,24,0.5,118.96,13.12,zep_like_temporal_graph,0.352
habit_family,content_constraints,25,0.6,112.92,14.96,zep_like_temporal_graph,0.352
habit_family,drift_seasonality,45,0.4222,104.62,11.6,zep_like_temporal_graph,0.352
habit_family,format_style,25,0.36,105.76,12.24,zep_like_temporal_graph,0.352
habit_family,meeting_prep,29,0.5172,80.97,11.69,zep_like_temporal_graph,0.352
habit_family,planning_defaults,29,0.3103,98.9,11.41,zep_like_temporal_graph,0.352
habit_family,privacy_consent,54,0.2963,104.31,8.63,zep_like_temporal_graph,0.352
habit_family,risk_threshold,23,0.3478,104.0,13.65,zep_like_temporal_graph,0.352
habit_family,tool_action,32,0.5312,111.0,13.31,zep_like_temporal_graph,0.352
stress_variant,original_reviewed,161,0.4969,104.24,11.89,zep_like_temporal_graph,0.352
stress_variant,unseen_paraphrase,125,0.32,104.33,11.83,zep_like_temporal_graph,0.352
overall,overall,286,0.6049,85.57,56.78,a_mem_like_note_linking,0.575
probe_type,boundary,72,0.5972,82.21,56.75,a_mem_like_note_linking,0.575
probe_type,direct_use,72,0.5556,93.61,56.78,a_mem_like_note_linking,0.575
probe_type,drift,16,0.3125,100.25,57.0,a_mem_like_note_linking,0.575
probe_type,exception,72,0.7778,83.62,56.69,a_mem_like_note_linking,0.575
probe_type,explicit_retrieval,36,0.8056,82.25,56.78,a_mem_like_note_linking,0.575
probe_type,privacy,18,0.0,68.22,57.0,a_mem_like_note_linking,0.575
capability_group,counterevidence_exception,72,0.7778,83.62,56.69,a_mem_like_note_linking,0.575
capability_group,explicit_fact_preference_retrieval,36,0.8056,82.25,56.78,a_mem_like_note_linking,0.575
capability_group,false_personalization_privacy,18,0.0,68.22,57.0,a_mem_like_note_linking,0.575
capability_group,habit_boundary_false_personalization,72,0.5972,82.21,56.75,a_mem_like_note_linking,0.575
capability_group,habit_direct_use,72,0.5556,93.61,56.78,a_mem_like_note_linking,0.575
capability_group,habit_drift,16,0.3125,100.25,57.0,a_mem_like_note_linking,0.575
habit_family,coding_review,24,0.6667,92.04,56.83,a_mem_like_note_linking,0.575
habit_family,content_constraints,25,0.72,100.88,56.56,a_mem_like_note_linking,0.575
habit_family,drift_seasonality,45,0.7111,92.62,56.84,a_mem_like_note_linking,0.575
habit_family,format_style,25,0.68,85.8,56.96,a_mem_like_note_linking,0.575
habit_family,meeting_prep,29,0.7931,77.14,56.69,a_mem_like_note_linking,0.575
habit_family,planning_defaults,29,0.7931,92.14,56.66,a_mem_like_note_linking,0.575
habit_family,privacy_consent,54,0.4259,72.56,57.07,a_mem_like_note_linking,0.575
habit_family,risk_threshold,23,0.2174,81.17,56.3,a_mem_like_note_linking,0.575
habit_family,tool_action,32,0.5,85.47,56.69,a_mem_like_note_linking,0.575
stress_variant,original_reviewed,161,0.6584,84.92,56.78,a_mem_like_note_linking,0.575
stress_variant,unseen_paraphrase,125,0.536,86.41,56.78,a_mem_like_note_linking,0.575
overall,overall,286,0.5769,75.83,133.72,secom_like_segment_memory,0.822
probe_type,boundary,72,0.7083,69.39,133.83,secom_like_segment_memory,0.822
probe_type,direct_use,72,0.3333,84.39,133.56,secom_like_segment_memory,0.822
probe_type,drift,16,1.0,93.81,134.0,secom_like_segment_memory,0.822
probe_type,exception,72,0.6667,68.4,134.0,secom_like_segment_memory,0.822
probe_type,explicit_retrieval,36,0.7222,84.72,133.56,secom_like_segment_memory,0.822
probe_type,privacy,18,0.0,63.33,132.89,secom_like_segment_memory,0.822
capability_group,counterevidence_exception,72,0.6667,68.4,134.0,secom_like_segment_memory,0.822
capability_group,explicit_fact_preference_retrieval,36,0.7222,84.72,133.56,secom_like_segment_memory,0.822
capability_group,false_personalization_privacy,18,0.0,63.33,132.89,secom_like_segment_memory,0.822
capability_group,habit_boundary_false_personalization,72,0.7083,69.39,133.83,secom_like_segment_memory,0.822
capability_group,habit_direct_use,72,0.3333,84.39,133.56,secom_like_segment_memory,0.822
capability_group,habit_drift,16,1.0,93.81,134.0,secom_like_segment_memory,0.822
habit_family,coding_review,24,0.4167,81.04,133.0,secom_like_segment_memory,0.822
habit_family,content_constraints,25,0.84,96.56,134.4,secom_like_segment_memory,0.822
habit_family,drift_seasonality,45,0.9111,84.98,134.62,secom_like_segment_memory,0.822
habit_family,format_style,25,0.48,76.4,132.48,secom_like_segment_memory,0.822
habit_family,meeting_prep,29,0.3448,62.28,133.86,secom_like_segment_memory,0.822
habit_family,planning_defaults,29,0.6552,85.83,134.34,secom_like_segment_memory,0.822
habit_family,privacy_consent,54,0.4259,60.83,132.15,secom_like_segment_memory,0.822
habit_family,risk_threshold,23,0.5217,75.61,135.57,secom_like_segment_memory,0.822
habit_family,tool_action,32,0.5312,71.12,134.06,secom_like_segment_memory,0.822
stress_variant,original_reviewed,161,0.5963,76.46,133.7,secom_like_segment_memory,0.822
stress_variant,unseen_paraphrase,125,0.552,75.02,133.74,secom_like_segment_memory,0.822
overall,overall,286,0.3986,105.31,1.0,rmm_like_reflective_summary,0.348
probe_type,boundary,72,0.3611,104.64,1.0,rmm_like_reflective_summary,0.348
probe_type,direct_use,72,0.6667,105.42,1.0,rmm_like_reflective_summary,0.348
probe_type,drift,16,0.0,107.5,1.0,rmm_like_reflective_summary,0.348
probe_type,exception,72,0.0556,106.56,1.0,rmm_like_reflective_summary,0.348
probe_type,explicit_retrieval,36,0.9722,105.42,1.0,rmm_like_reflective_summary,0.348
probe_type,privacy,18,0.0556,100.44,1.0,rmm_like_reflective_summary,0.348
capability_group,counterevidence_exception,72,0.0556,106.56,1.0,rmm_like_reflective_summary,0.348
capability_group,explicit_fact_preference_retrieval,36,0.9722,105.42,1.0,rmm_like_reflective_summary,0.348
capability_group,false_personalization_privacy,18,0.0556,100.44,1.0,rmm_like_reflective_summary,0.348
capability_group,habit_boundary_false_personalization,72,0.3611,104.64,1.0,rmm_like_reflective_summary,0.348
capability_group,habit_direct_use,72,0.6667,105.42,1.0,rmm_like_reflective_summary,0.348
capability_group,habit_drift,16,0.0,107.5,1.0,rmm_like_reflective_summary,0.348
habit_family,coding_review,24,0.5,118.96,1.0,rmm_like_reflective_summary,0.348
habit_family,content_constraints,25,0.56,109.88,1.0,rmm_like_reflective_summary,0.348
habit_family,drift_seasonality,45,0.3111,105.76,1.0,rmm_like_reflective_summary,0.348
habit_family,format_style,25,0.36,107.24,1.0,rmm_like_reflective_summary,0.348
habit_family,meeting_prep,29,0.5172,89.21,1.0,rmm_like_reflective_summary,0.348
habit_family,planning_defaults,29,0.3103,101.97,1.0,rmm_like_reflective_summary,0.348
habit_family,privacy_consent,54,0.3519,103.37,1.0,rmm_like_reflective_summary,0.348
habit_family,risk_threshold,23,0.3913,105.39,1.0,rmm_like_reflective_summary,0.348
habit_family,tool_action,32,0.4062,110.22,1.0,rmm_like_reflective_summary,0.348
stress_variant,original_reviewed,161,0.472,105.32,1.0,rmm_like_reflective_summary,0.348
stress_variant,unseen_paraphrase,125,0.304,105.3,1.0,rmm_like_reflective_summary,0.348
overall,overall,286,0.3706,105.31,1.0,o_mem_like_user_profile,0.415
probe_type,boundary,72,0.1944,104.64,1.0,o_mem_like_user_profile,0.415
probe_type,direct_use,72,0.6944,105.42,1.0,o_mem_like_user_profile,0.415
probe_type,drift,16,0.0,107.5,1.0,o_mem_like_user_profile,0.415
probe_type,exception,72,0.0278,106.56,1.0,o_mem_like_user_profile,0.415
probe_type,explicit_retrieval,36,0.8889,105.42,1.0,o_mem_like_user_profile,0.415
probe_type,privacy,18,0.4444,100.44,1.0,o_mem_like_user_profile,0.415
capability_group,counterevidence_exception,72,0.0278,106.56,1.0,o_mem_like_user_profile,0.415
capability_group,explicit_fact_preference_retrieval,36,0.8889,105.42,1.0,o_mem_like_user_profile,0.415
capability_group,false_personalization_privacy,18,0.4444,100.44,1.0,o_mem_like_user_profile,0.415
capability_group,habit_boundary_false_personalization,72,0.1944,104.64,1.0,o_mem_like_user_profile,0.415
capability_group,habit_direct_use,72,0.6944,105.42,1.0,o_mem_like_user_profile,0.415
capability_group,habit_drift,16,0.0,107.5,1.0,o_mem_like_user_profile,0.415
habit_family,coding_review,24,0.5,118.96,1.0,o_mem_like_user_profile,0.415
habit_family,content_constraints,25,0.44,109.88,1.0,o_mem_like_user_profile,0.415
habit_family,drift_seasonality,45,0.3778,105.76,1.0,o_mem_like_user_profile,0.415
habit_family,format_style,25,0.36,107.24,1.0,o_mem_like_user_profile,0.415
habit_family,meeting_prep,29,0.5172,89.21,1.0,o_mem_like_user_profile,0.415
habit_family,planning_defaults,29,0.3103,101.97,1.0,o_mem_like_user_profile,0.415
habit_family,privacy_consent,54,0.2778,103.37,1.0,o_mem_like_user_profile,0.415
habit_family,risk_threshold,23,0.3913,105.39,1.0,o_mem_like_user_profile,0.415
habit_family,tool_action,32,0.2812,110.22,1.0,o_mem_like_user_profile,0.415
stress_variant,original_reviewed,161,0.4286,105.32,1.0,o_mem_like_user_profile,0.415
stress_variant,unseen_paraphrase,125,0.296,105.3,1.0,o_mem_like_user_profile,0.415
