group_field,group,n,accuracy,baseline,elapsed_sec
habit_family,coding_review,14,0.4286,secom_like_segment_memory,0.271
habit_family,content_constraints,15,0.8667,secom_like_segment_memory,0.271
habit_family,drift_seasonality,25,0.92,secom_like_segment_memory,0.271
habit_family,format_style,14,0.4286,secom_like_segment_memory,0.271
habit_family,meeting_prep,17,0.4118,secom_like_segment_memory,0.271
habit_family,planning_defaults,16,0.75,secom_like_segment_memory,0.271
habit_family,privacy_consent,29,0.3793,secom_like_segment_memory,0.271
habit_family,risk_threshold,13,0.6154,secom_like_segment_memory,0.271
habit_family,tool_action,18,0.5556,secom_like_segment_memory,0.271
overall,overall,161,0.472,rmm_like_reflective_summary,0.07
probe_type,boundary,36,0.3611,rmm_like_reflective_summary,0.07
probe_type,direct_use,36,0.6667,rmm_like_reflective_summary,0.07
probe_type,drift,8,0.0,rmm_like_reflective_summary,0.07
probe_type,exception,36,0.0833,rmm_like_reflective_summary,0.07
probe_type,explicit_retrieval,36,0.9722,rmm_like_reflective_summary,0.07
probe_type,privacy,9,0.1111,rmm_like_reflective_summary,0.07
capability_group,counterevidence_exception,36,0.0833,rmm_like_reflective_summary,0.07
capability_group,explicit_fact_preference_retrieval,36,0.9722,rmm_like_reflective_summary,0.07
capability_group,false_personalization_privacy,9,0.1111,rmm_like_reflective_summary,0.07
capability_group,habit_boundary_false_personalization,36,0.3611,rmm_like_reflective_summary,0.07
capability_group,habit_direct_use,36,0.6667,rmm_like_reflective_summary,0.07
capability_group,habit_drift,8,0.0,rmm_like_reflective_summary,0.07
habit_family,coding_review,14,0.5714,rmm_like_reflective_summary,0.07
habit_family,content_constraints,15,0.6667,rmm_like_reflective_summary,0.07
habit_family,drift_seasonality,25,0.36,rmm_like_reflective_summary,0.07
habit_family,format_style,14,0.4286,rmm_like_reflective_summary,0.07
habit_family,meeting_prep,17,0.5882,rmm_like_reflective_summary,0.07
habit_family,planning_defaults,16,0.375,rmm_like_reflective_summary,0.07
habit_family,privacy_consent,29,0.3793,rmm_like_reflective_summary,0.07
habit_family,risk_threshold,13,0.4615,rmm_like_reflective_summary,0.07
habit_family,tool_action,18,0.5556,rmm_like_reflective_summary,0.07
overall,overall,161,0.4286,o_mem_like_user_profile,0.065
probe_type,boundary,36,0.1944,o_mem_like_user_profile,0.065
probe_type,direct_use,36,0.6944,o_mem_like_user_profile,0.065
probe_type,drift,8,0.0,o_mem_like_user_profile,0.065
probe_type,exception,36,0.0278,o_mem_like_user_profile,0.065
probe_type,explicit_retrieval,36,0.8889,o_mem_like_user_profile,0.065
probe_type,privacy,9,0.4444,o_mem_like_user_profile,0.065
capability_group,counterevidence_exception,36,0.0278,o_mem_like_user_profile,0.065
capability_group,explicit_fact_preference_retrieval,36,0.8889,o_mem_like_user_profile,0.065
capability_group,false_personalization_privacy,9,0.4444,o_mem_like_user_profile,0.065
capability_group,habit_boundary_false_personalization,36,0.1944,o_mem_like_user_profile,0.065
capability_group,habit_direct_use,36,0.6944,o_mem_like_user_profile,0.065
capability_group,habit_drift,8,0.0,o_mem_like_user_profile,0.065
habit_family,coding_review,14,0.5714,o_mem_like_user_profile,0.065
habit_family,content_constraints,15,0.5333,o_mem_like_user_profile,0.065
habit_family,drift_seasonality,25,0.44,o_mem_like_user_profile,0.065
habit_family,format_style,14,0.4286,o_mem_like_user_profile,0.065
habit_family,meeting_prep,17,0.5882,o_mem_like_user_profile,0.065
habit_family,planning_defaults,16,0.375,o_mem_like_user_profile,0.065
habit_family,privacy_consent,29,0.2759,o_mem_like_user_profile,0.065
habit_family,risk_threshold,13,0.4615,o_mem_like_user_profile,0.065
habit_family,tool_action,18,0.3333,o_mem_like_user_profile,0.065
