domain,source_conversation_id,assigned_user_id,session_id,cluster_id,source_tags_json,quality_score
finance,acs-d7b4bd3d-c2fc-4f2c-9e07-a18f330dbe66-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0014,14,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification""]",0.6025
finance,acs-4c8d1269-f535-45d1-8167-4a3e97d02dc0-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0016,4,"[""finance_minimal_pii_secure_verification""]",0.5462
finance,acs-be09fba0-313b-4caa-815e-6a3499cb1f2e-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0017,12,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.6194
finance,acs-abc605df-096f-43b3-b0c2-1d7499934dd9-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0019,14,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.6515
finance,acs-9def0da6-b393-48bc-823e-ebc54537e330-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0020,25,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_fee_dispute_evidence_then_case"", ""finance_payment_status_latest_check""]",0.6179
finance,acs-c8c27f91-211c-4dc1-9ec8-00215e13d78a-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0022,14,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_fee_dispute_evidence_then_case""]",0.7404
finance,acs-af2d76b9-dbbd-4860-a1db-5fe04517ef5e-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0026,17,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.6296
finance,acs-93224f8c-fc69-426f-b909-60d3a102a8fc-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0027,11,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.5967
finance,acs-c6a5ba95-4f21-4e1e-8a5b-736a71c437df-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0028,2,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.7142
finance,acs-0061cad7-1660-476a-8230-86387e76c390-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0029,11,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification""]",0.4815
finance,acs-78116a8a-7811-44f5-b092-c6c069dca5a5-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0031,4,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.669
finance,acs-0894e2d4-3654-450e-93ea-cf7eff058fae-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0032,26,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification""]",0.48
finance,acs-d47f141c-e0a5-49d7-b1f5-c4e24b98bcae-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0033,17,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.4815
finance,acs-149b1246-d0a2-4f01-91b3-0e9cc26fa6d6-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0034,1,"[""finance_credit_loan_cautious_no_commitment""]",0.5127
finance,acs-d7c4182e-c688-4091-a2b5-d25302df017c-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0037,7,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.6485
finance,acs-ea434e7e-b207-428f-8804-09d7e0a28394-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0038,28,"[""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.5106
finance,acs-67226767-2057-4c7e-afbb-3844cb079116-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0039,17,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.5625
finance,acs-2df1432e-4596-47b6-b271-5071eb8eec1c-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0040,0,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.6004
finance,acs-36f2b795-8719-4edb-9ccf-7f28c83c9f83-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0041,8,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.6135
finance,acs-59a0d7b4-6290-4f63-abfe-9ef2abe1b9a5-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0044,19,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.7579
finance,acs-2cbdeb6c-e0d1-4bc8-8e80-22e488ad1555-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0045,21,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first""]",0.6069
finance,acs-3e5f2653-e133-44f0-b102-54657d675710-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0046,17,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation"", ""finance_fee_dispute_evidence_then_case""]",1.0
finance,acs-a12577e5-78eb-4288-ac3b-02a494d9dcbb-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0047,29,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.496
finance,acs-095e09aa-85e8-47c2-ac58-8a279f4b6e59-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0048,25,"[""finance_minimal_pii_secure_verification""]",0.3552
finance,acs-7b2afeab-c7e8-4d23-bc6d-22c23122ec09-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0050,3,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_fee_dispute_evidence_then_case""]",0.7856
finance,acs-f44ec062-9be6-4e50-919e-f29a4faef678-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0052,14,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification"", ""finance_credit_loan_cautious_no_commitment""]",0.685
finance,acs-279d2f5a-5dfd-43f8-af7f-3d307b1e359c-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0054,22,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.634
finance,acs-f2e353be-fb46-465a-8dc3-48632fc6b8e0-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0056,16,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification""]",0.5471
finance,acs-b801609c-af7b-49ba-b53c-5f75b2396ebc-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0057,9,"[""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.5165
finance,acs-c4832626-cee1-417f-a222-7aec09a6f8fa-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0058,28,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first""]",0.7579
finance,acs-6b555dd9-1030-41cb-a872-6a76a2375603-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0059,25,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.5165
finance,acs-9f8716e3-fc44-4744-aac8-3e9abeb58327-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0062,6,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_fee_dispute_evidence_then_case"", ""finance_payment_status_latest_check""]",0.6894
finance,acs-fcf5cb06-8161-45d7-8196-48605c91bdd3-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0063,20,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification""]",0.6331
finance,acs-4d229eaa-5e45-484d-9ce7-bc1d56f13038-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0065,16,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.669
finance,acs-142edca6-2f2e-4218-9c40-95800f6b19e5-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0066,0,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.669
finance,acs-2baf3197-71b4-4264-922d-9f9b547cd0b1-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0067,22,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.7579
finance,acs-424e48f0-dcab-464d-aa38-513939fcc5e2-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0068,0,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.6433
finance,acs-55e93b36-8129-431b-9db0-015eda84ca91-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0069,7,"[""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.5208
finance,acs-70530f5f-010d-43e3-b95a-f507b32bfa1b-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0070,8,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.4902
finance,acs-09cb7b03-7ea8-4de3-8548-2c5f1fa46119-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0071,21,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.4523
finance,acs-a1966a12-e2f8-4482-bcf6-c63fecb918a4-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0072,7,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.5946
finance,acs-b7f49948-b9a7-4560-a11a-82dbc01b4338-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0073,0,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.7885
finance,acs-691f050e-002f-4cc3-8c67-d0f477f3d3aa-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0074,17,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.6194
finance,acs-72abb7b4-8ec4-4369-9172-69e2fdf72cad-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0076,26,"[""finance_minimal_pii_secure_verification""]",0.4019
finance,acs-b409a74d-97f4-4ae3-a135-34eeb03eb688-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0077,2,"[""finance_confirm_money_movement"", ""finance_balance_statement_summary_first"", ""finance_credit_loan_cautious_no_commitment"", ""finance_payment_status_latest_check""]",0.9475
finance,acs-943dd5bc-9398-4418-b8c5-e45e54024a0d-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0078,22,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_fee_dispute_evidence_then_case""]",0.6412
finance,acs-52412624-f5c0-4a76-823a-90b824903322-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0079,27,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.6054
finance,acs-1de8c433-7559-49b6-8c4e-dec52e7340a3-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0081,22,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_fee_dispute_evidence_then_case"", ""finance_payment_status_latest_check""]",0.6777
finance,acs-96e79ba9-d10f-40da-8a58-2dce96beaed1-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0083,27,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification""]",0.5077
finance,acs-6df4ca93-2fa3-4a04-a18e-c84b19c1c54a-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0085,28,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification""]",0.4654
finance,acs-f23eecd8-2f5f-4193-aba7-6f72c07cc1e5-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0086,16,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification""]",0.4858
finance,acs-34d7191d-6ad0-4679-83eb-146f7b502ebe-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0087,28,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_fee_dispute_evidence_then_case"", ""finance_payment_status_latest_check""]",0.6004
finance,acs-04a1a6b2-e682-4980-a0bc-cd5a03afd726-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0088,23,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.4873
finance,acs-c907ef04-12c7-4347-86d5-4dfa34555053-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0089,18,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification""]",0.41
finance,acs-7959620b-fc4b-454b-bb86-2e78bac536a8-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0090,9,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification""]",0.6025
finance,acs-556ca796-e799-4901-8265-259d5483c955-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0092,6,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification""]",0.5544
finance,acs-4c078a0a-d695-4245-a43e-8ae7219d6847-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0094,9,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.499
finance,acs-f8d9d63e-8ab8-40f5-b1d6-9bc7f178304e-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0095,21,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification""]",0.3896
finance,acs-0d996121-9527-4fc5-b034-d520035acc85-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0096,6,"[""finance_minimal_pii_secure_verification""]",0.3494
finance,acs-d0603f33-c13d-44f2-b738-1eb107d0d8e5-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0097,13,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_fee_dispute_evidence_then_case"", ""finance_payment_status_latest_check""]",0.7579
finance,acs-9b235f36-1d8f-4499-b41f-991aaf05bc5b-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0099,5,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.5771
finance,acs-e12c9d3c-309f-4760-9c20-63bc3cfa0b45-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0100,14,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.6281
finance,acs-4846181f-1d4f-4ef8-b614-785b8458d547-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0103,0,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.4823
finance,acs-8acbef66-56f4-4e8c-9af7-6af492a2d977-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0104,13,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification""]",0.6331
finance,acs-b7cff7a5-4a25-4c87-8099-182f6dc51ac3-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0105,19,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.5465
finance,acs-9276c382-2ee7-4cea-bb83-02d0a8beb99a-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0107,2,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.7565
finance,acs-f6e8ba21-d3dc-43e9-9e50-332b32f2bca6-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0108,16,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification"", ""finance_credit_loan_cautious_no_commitment""]",0.755
finance,acs-5ef94480-b6d1-477b-81ce-375594717f34-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0109,3,"[""finance_minimal_pii_secure_verification""]",0.3844
finance,acs-09a7b069-f52c-4d9a-a913-015ee990a6e7-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0110,15,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case"", ""finance_credit_loan_cautious_no_commitment""]",0.7112
finance,acs-b5768d77-a54b-4d43-8bae-3cdcf1e0ea41-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0112,15,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.3867
finance,acs-089b2c1d-aa13-457b-bd89-16ca46a1732e-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0113,8,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.6069
finance,acs-47122a67-9fd2-49b1-ae1a-8ae38703dc28-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0115,9,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.634
finance,acs-e49cd015-81a8-4198-8769-ddb362c41c6d-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0116,0,"[""finance_minimal_pii_secure_verification"", ""finance_payment_status_latest_check""]",0.4085
finance,acs-31374b38-52a7-4c9b-b143-73410c7159bc-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0118,22,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.7258
finance,acs-dff5135a-0ee3-430c-8cd7-a32d2351adde-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0120,16,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.5815
finance,acs-201adc5b-2042-4191-a99c-521239776436-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0121,15,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification""]",0.5354
finance,acs-b35e29e7-1e56-4cc3-b134-a1da25a55e41-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0123,13,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_fee_dispute_evidence_then_case""]",0.6777
finance,acs-1ef6b2ca-eda8-4ad3-aa52-4d3bbb034a3b-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0124,19,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification""]",0.4406
finance,acs-0e193bf6-381b-48e5-b3cb-b59bbdbf5426-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0125,16,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.5719
finance,acs-faef0f94-7931-4c47-97a8-33ccb9daee1b-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0127,5,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification""]",0.5281
finance,acs-0dc81493-4e3f-4836-9d69-cfbc0e065589-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0128,10,"[""finance_minimal_pii_secure_verification"", ""finance_payment_status_latest_check""]",0.601
finance,acs-a16a6ca0-4174-48fe-a369-863741e911f2-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0129,10,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.5698
finance,acs-ab444fe3-9cc3-499a-b0c6-fa5d904f7685-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0130,11,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification""]",0.4552
finance,acs-3827daed-dcfc-41e2-b2c1-ec3608127a86-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0134,7,"[""finance_confirm_money_movement"", ""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification""]",0.7258
finance,acs-d9e1b538-50fc-4602-b14e-dffd8b57fb10-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0135,24,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.5033
finance,acs-ec42b57a-2227-4f15-9123-a6f696dbfe9f-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0136,21,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",0.7025
finance,acs-3f6cfb1d-1221-4fc0-a3d3-f65371985bb9-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0137,27,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.5479
finance,acs-52924ece-6be2-400b-bf04-45dfeb3cc1db-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0138,1,"[""finance_fee_dispute_evidence_then_case"", ""finance_credit_loan_cautious_no_commitment""]",0.5369
finance,acs-82248d30-0d22-4d8a-a70f-1da51cddcb66-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0139,28,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.6325
finance,acs-6fce24be-9ade-48fa-a2f7-c875d15045ff-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0140,16,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification""]",0.4698
finance,acs-cf20af52-6f4e-4dd9-a0f7-e1bb056957b7-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0144,7,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",0.491
finance,acs-f8a48af2-5c28-411a-bac9-b69c9bc8b304-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0147,26,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.5654
finance,acs-40cad922-5541-47a3-8181-87f28cbb1232-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0148,27,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_fee_dispute_evidence_then_case""]",0.5319
finance,acs-c5f86bba-ceff-462e-a310-74948acd595d-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0149,28,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.5675
finance,acs-66fc3d0b-029d-40d9-85fe-c6f6680acbc1-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0150,0,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",0.5515
finance,acs-4f2b48e6-5977-423c-87f1-78212f0f01aa-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0151,24,"[""finance_minimal_pii_secure_verification"", ""finance_credit_loan_cautious_no_commitment""]",0.6623
finance,acs-b4e8aa00-75a8-4107-ae9e-872d41b40ce1-1,mdgo_v05_fin_user_0000,mdgo_v05_fin_user_0000_s0152,1,"[""finance_minimal_pii_secure_verification""]",0.4398
